YEAR  MO  DA  HR    LAT     LON Rn2200010
2005  12  28  12 -19.60  -49.55  0.55E-11
2005  12  28  12 -19.65  -49.50  0.27E-11
2005  12  28  12 -19.60  -49.50  0.11E-10
2005  12  28  12 -19.65  -49.45  0.15E-10
2005  12  28  12 -19.60  -49.45  0.65E-11
2005  12  28  12 -19.70  -49.40  0.13E-11
2005  12  28  12 -19.65  -49.40  0.40E-10
2005  12  28  12 -19.70  -49.35  0.30E-11
2005  12  28  12 -19.65  -49.35  0.48E-10
2005  12  28  12 -19.70  -49.30  0.18E-10
2005  12  28  12 -19.65  -49.30  0.40E-10
2005  12  28  12 -19.70  -49.25  0.55E-10
2005  12  28  12 -19.65  -49.25  0.12E-10
2005  12  28  12 -19.75  -49.20  0.13E-11
2005  12  28  12 -19.70  -49.20  0.83E-10
2005  12  28  12 -19.65  -49.20  0.89E-12
2005  12  28  12 -19.75  -49.15  0.84E-11
2005  12  28  12 -19.70  -49.15  0.10E-09
2005  12  28  12 -19.75  -49.10  0.47E-10
2005  12  28  12 -19.70  -49.10  0.66E-10
2005  12  28  12 -19.75  -49.05  0.80E-10
2005  12  28  12 -19.70  -49.05  0.33E-10
2005  12  28  12 -19.75  -49.00  0.12E-09
2005  12  28  12 -19.70  -49.00  0.18E-10
2005  12  28  12 -19.80  -48.95  0.71E-11
2005  12  28  12 -19.75  -48.95  0.13E-09
2005  12  28  12 -19.70  -48.95  0.77E-11
2005  12  28  12 -19.80  -48.90  0.68E-10
2005  12  28  12 -19.75  -48.90  0.97E-10
2005  12  28  12 -19.70  -48.90  0.45E-12
2005  12  28  12 -19.80  -48.85  0.13E-09
2005  12  28  12 -19.75  -48.85  0.58E-10
2005  12  28  12 -19.85  -48.80  0.52E-12
2005  12  28  12 -19.80  -48.80  0.16E-09
2005  12  28  12 -19.75  -48.80  0.39E-10
2005  12  28  12 -19.85  -48.75  0.86E-11
2005  12  28  12 -19.80  -48.75  0.17E-09
2005  12  28  12 -19.75  -48.75  0.29E-10
2005  12  28  12 -19.85  -48.70  0.68E-10
2005  12  28  12 -19.80  -48.70  0.14E-09
2005  12  28  12 -19.75  -48.70  0.26E-10
2005  12  28  12 -19.85  -48.65  0.14E-09
2005  12  28  12 -19.80  -48.65  0.74E-10
2005  12  28  12 -19.75  -48.65  0.14E-10
2005  12  28  12 -19.85  -48.60  0.17E-09
2005  12  28  12 -19.80  -48.60  0.65E-10
2005  12  28  12 -19.75  -48.60  0.28E-11
2005  12  28  12 -19.90  -48.55  0.53E-12
2005  12  28  12 -19.85  -48.55  0.22E-09
2005  12  28  12 -19.80  -48.55  0.71E-10
2005  12  28  12 -19.90  -48.50  0.85E-11
2005  12  28  12 -19.85  -48.50  0.24E-09
2005  12  28  12 -19.80  -48.50  0.49E-10
2005  12  28  12 -19.90  -48.45  0.12E-09
2005  12  28  12 -19.85  -48.45  0.17E-09
2005  12  28  12 -19.80  -48.45  0.52E-10
2005  12  28  12 -19.90  -48.40  0.21E-09
2005  12  28  12 -19.85  -48.40  0.12E-09
2005  12  28  12 -19.80  -48.40  0.23E-10
2005  12  28  12 -19.90  -48.35  0.28E-09
2005  12  28  12 -19.85  -48.35  0.85E-10
2005  12  28  12 -19.80  -48.35  0.19E-11
2005  12  28  12 -19.90  -48.30  0.36E-09
2005  12  28  12 -19.85  -48.30  0.12E-09
2005  12  28  12 -19.90  -48.25  0.38E-09
2005  12  28  12 -19.85  -48.25  0.71E-10
2005  12  28  12 -19.95  -48.20  0.86E-10
2005  12  28  12 -19.90  -48.20  0.45E-09
2005  12  28  12 -19.85  -48.20  0.42E-10
2005  12  28  12 -19.95  -48.15  0.36E-09
2005  12  28  12 -19.90  -48.15  0.20E-09
2005  12  28  12 -19.95  -48.10  0.52E-09
2005  12  28  12 -19.90  -48.10  0.20E-09
2005  12  28  12 -19.95  -48.05  0.72E-09
2005  12  28  12 -19.90  -48.05  0.98E-10
2005  12  28  12 -19.95  -48.00  0.72E-09
2005  12  28  12 -19.90  -48.00  0.36E-11
2005  12  28  12 -19.95  -47.95  0.11E-08
2005  12  28  12 -20.00  -47.90  0.36E-09
2005  12  28  12 -19.95  -47.90  0.54E-09
2005  12  29   0 -19.20  -51.20  0.60E-12
2005  12  29   0 -19.25  -51.15  0.20E-12
2005  12  29   0 -19.30  -51.10  0.23E-12
2005  12  29   0 -19.25  -51.10  0.23E-12
2005  12  29   0 -19.20  -51.10  0.20E-12
2005  12  29   0 -19.30  -51.05  0.46E-12
2005  12  29   0 -19.20  -51.05  0.10E-11
2005  12  29   0 -19.30  -51.00  0.23E-12
2005  12  29   0 -19.20  -51.00  0.80E-12
2005  12  29   0 -19.15  -51.00  0.40E-12
2005  12  29   0 -19.30  -50.95  0.11E-11
2005  12  29   0 -19.25  -50.95  0.63E-12
2005  12  29   0 -19.20  -50.95  0.40E-12
2005  12  29   0 -19.30  -50.90  0.11E-11
2005  12  29   0 -19.25  -50.90  0.27E-11
2005  12  29   0 -19.20  -50.90  0.66E-12
2005  12  29   0 -19.30  -50.85  0.90E-12
