YEAR  MO  DA  HR    LAT     LON Rn2200010
1989   1  18  12 -20.45  -47.90  0.32E-10
1989   1  18  12 -20.40  -47.90  0.11E-09
1989   1  18  12 -20.35  -47.90  0.19E-09
1989   1  18  12 -20.30  -47.90  0.24E-09
1989   1  18  12 -20.25  -47.90  0.32E-09
1989   1  18  12 -20.20  -47.90  0.44E-09
1989   1  18  12 -20.15  -47.90  0.49E-09
1989   1  18  12 -20.10  -47.90  0.69E-09
1989   1  18  12 -20.05  -47.90  0.91E-09
1989   1  18  12 -20.00  -47.90  0.24E-09
1989   1  18  12 -20.50  -47.85  0.73E-12
1989   1  18  12 -20.45  -47.85  0.64E-10
1989   1  18  12 -20.40  -47.85  0.70E-10
1989   1  18  12 -20.35  -47.85  0.11E-09
1989   1  18  12 -20.30  -47.85  0.11E-09
1989   1  18  12 -20.25  -47.85  0.15E-09
1989   1  18  12 -20.20  -47.85  0.13E-09
1989   1  18  12 -20.15  -47.85  0.20E-09
1989   1  18  12 -20.10  -47.85  0.26E-09
1989   1  18  12 -20.05  -47.85  0.62E-09
1989   1  18  12 -20.00  -47.85  0.18E-08
1989   1  18  12 -20.45  -47.80  0.44E-11
1989   1  18  12 -20.40  -47.80  0.59E-11
1989   1  18  12 -20.35  -47.80  0.15E-10
1989   1  18  12 -20.30  -47.80  0.23E-10
1989   1  18  12 -20.25  -47.80  0.59E-10
1989   1  18  12 -20.20  -47.80  0.82E-10
1989   1  18  12 -20.15  -47.80  0.14E-09
1989   1  18  12 -20.10  -47.80  0.24E-09
1989   1  18  12 -20.05  -47.80  0.25E-09
1989   1  18  12 -20.00  -47.80  0.30E-09
1989   1  18  12 -20.10  -47.75  0.23E-10
1989   1  18  12 -20.05  -47.75  0.70E-11
1989   1  19   0 -20.50  -47.90  0.13E-09
1989   1  19   0 -20.45  -47.90  0.19E-09
1989   1  19   0 -20.40  -47.90  0.18E-09
1989   1  19   0 -20.35  -47.90  0.21E-09
1989   1  19   0 -20.30  -47.90  0.16E-09
1989   1  19   0 -20.25  -47.90  0.17E-09
1989   1  19   0 -20.20  -47.90  0.16E-09
1989   1  19   0 -20.15  -47.90  0.18E-09
1989   1  19   0 -20.10  -47.90  0.12E-09
1989   1  19   0 -20.05  -47.90  0.10E-09
1989   1  19   0 -20.55  -47.85  0.15E-09
1989   1  19   0 -20.50  -47.85  0.21E-09
1989   1  19   0 -20.45  -47.85  0.97E-10
1989   1  19   0 -20.40  -47.85  0.10E-09
1989   1  19   0 -20.35  -47.85  0.83E-10
1989   1  19   0 -20.30  -47.85  0.11E-09
1989   1  19   0 -20.25  -47.85  0.11E-09
1989   1  19   0 -20.20  -47.85  0.11E-09
1989   1  19   0 -20.15  -47.85  0.19E-09
1989   1  19   0 -20.10  -47.85  0.23E-09
1989   1  19   0 -20.05  -47.85  0.39E-09
1989   1  19   0 -20.00  -47.85  0.12E-08
1989   1  19   0 -19.95  -47.85  0.30E-09
1989   1  19   0 -20.60  -47.80  0.20E-10
1989   1  19   0 -20.55  -47.80  0.20E-09
1989   1  19   0 -20.50  -47.80  0.65E-10
1989   1  19   0 -20.45  -47.80  0.53E-10
1989   1  19   0 -20.40  -47.80  0.56E-10
1989   1  19   0 -20.35  -47.80  0.71E-10
1989   1  19   0 -20.30  -47.80  0.81E-10
1989   1  19   0 -20.25  -47.80  0.65E-10
1989   1  19   0 -20.20  -47.80  0.81E-10
1989   1  19   0 -20.15  -47.80  0.12E-09
1989   1  19   0 -20.10  -47.80  0.17E-09
1989   1  19   0 -20.05  -47.80  0.27E-09
1989   1  19   0 -20.00  -47.80  0.30E-09
1989   1  19   0 -19.95  -47.80  0.39E-09
1989   1  19   0 -20.60  -47.75  0.49E-10
1989   1  19   0 -20.55  -47.75  0.13E-09
1989   1  19   0 -20.50  -47.75  0.35E-10
1989   1  19   0 -20.45  -47.75  0.41E-10
1989   1  19   0 -20.40  -47.75  0.51E-10
1989   1  19   0 -20.35  -47.75  0.51E-10
1989   1  19   0 -20.30  -47.75  0.61E-10
1989   1  19   0 -20.25  -47.75  0.52E-10
1989   1  19   0 -20.20  -47.75  0.69E-10
1989   1  19   0 -20.15  -47.75  0.78E-10
1989   1  19   0 -20.10  -47.75  0.13E-09
1989   1  19   0 -20.05  -47.75  0.15E-09
1989   1  19   0 -20.00  -47.75  0.16E-09
1989   1  19   0 -19.95  -47.75  0.28E-09
1989   1  19   0 -20.60  -47.70  0.44E-10
1989   1  19   0 -20.55  -47.70  0.97E-10
1989   1  19   0 -20.50  -47.70  0.30E-10
