YEAR  MO  DA  HR    LAT     LON Rn2200100
1970   9  21  12 -18.95  -48.20  0.57E-10
1970   9  21  12 -18.90  -48.20  0.77E-10
1970   9  21  12 -18.85  -48.20  0.54E-10
1970   9  21  12 -18.80  -48.20  0.27E-10
1970   9  21  12 -19.00  -48.15  0.16E-10
1970   9  21  12 -18.95  -48.15  0.10E-09
1970   9  21  12 -18.90  -48.15  0.11E-09
1970   9  21  12 -18.85  -48.15  0.13E-09
1970   9  21  12 -18.80  -48.15  0.54E-10
1970   9  21  12 -19.05  -48.10  0.89E-11
1970   9  21  12 -19.00  -48.10  0.99E-10
1970   9  21  12 -18.95  -48.10  0.13E-09
1970   9  21  12 -18.90  -48.10  0.12E-09
1970   9  21  12 -18.85  -48.10  0.64E-10
1970   9  21  12 -19.10  -48.05  0.71E-11
1970   9  21  12 -19.05  -48.05  0.10E-09
1970   9  21  12 -19.00  -48.05  0.16E-09
1970   9  21  12 -18.95  -48.05  0.16E-09
1970   9  21  12 -18.90  -48.05  0.99E-10
1970   9  21  12 -18.85  -48.05  0.67E-11
1970   9  21  12 -19.15  -48.00  0.29E-10
1970   9  21  12 -19.10  -48.00  0.16E-09
1970   9  21  12 -19.05  -48.00  0.21E-09
1970   9  21  12 -19.00  -48.00  0.20E-09
1970   9  21  12 -18.95  -48.00  0.85E-10
1970   9  21  12 -18.90  -48.00  0.28E-11
1970   9  21  12 -19.25  -47.95  0.33E-10
1970   9  21  12 -19.20  -47.95  0.16E-09
1970   9  21  12 -19.15  -47.95  0.28E-09
1970   9  21  12 -19.10  -47.95  0.27E-09
1970   9  21  12 -19.05  -47.95  0.15E-09
1970   9  21  12 -19.00  -47.95  0.30E-10
1970   9  21  12 -19.95  -47.90  0.19E-09
1970   9  21  12 -19.90  -47.90  0.19E-09
1970   9  21  12 -19.85  -47.90  0.19E-09
1970   9  21  12 -19.80  -47.90  0.17E-09
1970   9  21  12 -19.75  -47.90  0.18E-09
1970   9  21  12 -19.70  -47.90  0.20E-09
1970   9  21  12 -19.65  -47.90  0.23E-09
1970   9  21  12 -19.60  -47.90  0.27E-09
1970   9  21  12 -19.55  -47.90  0.25E-09
1970   9  21  12 -19.50  -47.90  0.28E-09
1970   9  21  12 -19.45  -47.90  0.29E-09
1970   9  21  12 -19.40  -47.90  0.31E-09
1970   9  21  12 -19.35  -47.90  0.35E-09
1970   9  21  12 -19.30  -47.90  0.36E-09
1970   9  21  12 -19.25  -47.90  0.35E-09
1970   9  21  12 -19.20  -47.90  0.24E-09
1970   9  21  12 -19.15  -47.90  0.13E-09
1970   9  21  12 -19.10  -47.90  0.19E-10
1970   9  21  12 -19.85  -47.85  0.11E-10
1970   9  21  12 -19.80  -47.85  0.43E-10
1970   9  21  12 -19.75  -47.85  0.56E-10
1970   9  21  12 -19.70  -47.85  0.39E-10
1970   9  21  12 -19.65  -47.85  0.11E-10
1970   9  21  12 -19.60  -47.85  0.15E-11
1970   9  22   0 -18.65  -48.65  0.11E-12
1970   9  22   0 -18.65  -48.60  0.77E-13
1970   9  22   0 -18.80  -48.55  0.57E-13
1970   9  22   0 -18.75  -48.55  0.77E-13
1970   9  22   0 -18.50  -48.55  0.11E-12
1970   9  22   0 -18.85  -48.50  0.58E-13
1970   9  22   0 -18.80  -48.50  0.23E-12
1970   9  22   0 -18.75  -48.50  0.57E-13
1970   9  22   0 -18.65  -48.50  0.12E-12
1970   9  22   0 -18.60  -48.50  0.11E-12
1970   9  22   0 -18.55  -48.50  0.17E-12
1970   9  22   0 -18.90  -48.45  0.77E-13
1970   9  22   0 -18.85  -48.45  0.80E-13
1970   9  22   0 -18.75  -48.45  0.31E-12
1970   9  22   0 -18.70  -48.45  0.17E-12
1970   9  22   0 -18.65  -48.45  0.25E-12
1970   9  22   0 -18.60  -48.45  0.15E-12
1970   9  22   0 -18.55  -48.45  0.21E-12
1970   9  22   0 -19.05  -48.40  0.79E-13
