YEAR  MO  DA  HR    LAT     LON Rn2200010
2009   4  26  12  -4.35  -39.95  0.26E-10
2009   4  26  12  -4.30  -39.95  0.96E-10
2009   4  26  12  -4.25  -39.95  0.24E-10
2009   4  26  12  -4.45  -39.90  0.64E-10
2009   4  26  12  -4.40  -39.90  0.16E-09
2009   4  26  12  -4.35  -39.90  0.33E-09
2009   4  26  12  -4.30  -39.90  0.41E-09
2009   4  26  12  -4.25  -39.90  0.17E-09
2009   4  26  12  -4.50  -39.85  0.93E-10
2009   4  26  12  -4.45  -39.85  0.29E-09
2009   4  26  12  -4.40  -39.85  0.34E-09
2009   4  26  12  -4.35  -39.85  0.61E-09
2009   4  26  12  -4.30  -39.85  0.15E-08
2009   4  26  12  -4.25  -39.85  0.50E-11
2009   4  26  12  -4.55  -39.80  0.28E-10
2009   4  26  12  -4.50  -39.80  0.26E-09
2009   4  26  12  -4.45  -39.80  0.43E-09
2009   4  26  12  -4.40  -39.80  0.54E-09
2009   4  26  12  -4.35  -39.80  0.12E-08
2009   4  27   0  -4.35  -40.05  0.16E-10
2009   4  27   0  -4.30  -40.05  0.74E-10
2009   4  27   0  -4.25  -40.05  0.12E-09
2009   4  27   0  -4.20  -40.05  0.21E-09
2009   4  27   0  -4.40  -40.00  0.59E-11
2009   4  27   0  -4.35  -40.00  0.93E-10
2009   4  27   0  -4.30  -40.00  0.12E-09
2009   4  27   0  -4.25  -40.00  0.19E-09
2009   4  27   0  -4.20  -40.00  0.34E-09
2009   4  27   0  -4.15  -40.00  0.43E-10
2009   4  27   0  -4.40  -39.95  0.45E-10
2009   4  27   0  -4.35  -39.95  0.15E-09
2009   4  27   0  -4.30  -39.95  0.11E-09
2009   4  27   0  -4.25  -39.95  0.63E-09
2009   4  27   0  -4.20  -39.95  0.26E-09
2009   4  27   0  -4.15  -39.95  0.29E-10
2009   4  27   0  -4.45  -39.90  0.61E-11
2009   4  27   0  -4.40  -39.90  0.20E-10
2009   4  27   0  -4.30  -39.90  0.85E-09
2009   4  27   0  -4.25  -39.90  0.67E-09
2009   4  27   0  -4.20  -39.90  0.81E-10
2009   4  27   0  -4.35  -39.85  0.71E-09
2009   4  27   0  -4.30  -39.85  0.23E-08
2009   4  27   0  -4.25  -39.85  0.10E-09
2009   4  27   0  -4.35  -39.80  0.93E-09
2009   4  27   0  -4.30  -39.80  0.88E-09
2009   4  27   0  -4.30  -39.75  0.40E-09
