YEAR  MO  DA  HR    LAT     LON Rn2200010
2011   4  14   0  -4.15  -40.40  0.16E-09
2011   4  14   0  -4.10  -40.40  0.16E-09
2011   4  14   0  -4.05  -40.40  0.19E-09
2011   4  14   0  -4.00  -40.40  0.43E-11
2011   4  14   0  -4.25  -40.35  0.41E-11
2011   4  14   0  -4.20  -40.35  0.10E-09
2011   4  14   0  -4.15  -40.35  0.17E-09
2011   4  14   0  -4.10  -40.35  0.14E-09
2011   4  14   0  -4.05  -40.35  0.18E-09
2011   4  14   0  -4.00  -40.35  0.66E-11
2011   4  14   0  -4.20  -40.30  0.21E-09
2011   4  14   0  -4.15  -40.30  0.13E-09
2011   4  14   0  -4.10  -40.30  0.12E-09
2011   4  14   0  -4.05  -40.30  0.22E-09
2011   4  14   0  -4.00  -40.30  0.23E-11
2011   4  14   0  -4.25  -40.25  0.81E-10
2011   4  14   0  -4.20  -40.25  0.13E-09
2011   4  14   0  -4.15  -40.25  0.11E-09
2011   4  14   0  -4.10  -40.25  0.11E-09
2011   4  14   0  -4.05  -40.25  0.23E-09
2011   4  14   0  -4.00  -40.25  0.24E-11
2011   4  14   0  -4.25  -40.20  0.18E-09
2011   4  14   0  -4.20  -40.20  0.76E-10
2011   4  14   0  -4.15  -40.20  0.93E-10
2011   4  14   0  -4.10  -40.20  0.13E-09
2011   4  14   0  -4.05  -40.20  0.21E-09
2011   4  14   0  -4.30  -40.15  0.15E-10
2011   4  14   0  -4.25  -40.15  0.29E-09
2011   4  14   0  -4.20  -40.15  0.62E-10
2011   4  14   0  -4.15  -40.15  0.11E-09
2011   4  14   0  -4.10  -40.15  0.17E-09
2011   4  14   0  -4.05  -40.15  0.19E-09
2011   4  14   0  -4.30  -40.10  0.16E-09
2011   4  14   0  -4.25  -40.10  0.19E-09
2011   4  14   0  -4.20  -40.10  0.12E-09
2011   4  14   0  -4.15  -40.10  0.10E-09
2011   4  14   0  -4.10  -40.10  0.33E-09
2011   4  14   0  -4.05  -40.10  0.29E-10
2011   4  14   0  -4.30  -40.05  0.23E-09
2011   4  14   0  -4.25  -40.05  0.16E-09
2011   4  14   0  -4.20  -40.05  0.12E-09
2011   4  14   0  -4.15  -40.05  0.14E-09
2011   4  14   0  -4.10  -40.05  0.28E-09
2011   4  14   0  -4.30  -40.00  0.32E-09
2011   4  14   0  -4.25  -40.00  0.22E-09
2011   4  14   0  -4.20  -40.00  0.14E-09
2011   4  14   0  -4.15  -40.00  0.27E-09
2011   4  14   0  -4.10  -40.00  0.65E-10
2011   4  14   0  -4.30  -39.95  0.46E-09
2011   4  14   0  -4.25  -39.95  0.27E-09
2011   4  14   0  -4.20  -39.95  0.22E-09
2011   4  14   0  -4.15  -39.95  0.15E-09
2011   4  14   0  -4.30  -39.90  0.66E-09
2011   4  14   0  -4.25  -39.90  0.38E-09
2011   4  14   0  -4.20  -39.90  0.12E-09
2011   4  14   0  -4.35  -39.85  0.21E-09
2011   4  14   0  -4.30  -39.85  0.16E-08
2011   4  14   0  -4.25  -39.85  0.17E-09
2011   4  14   0  -4.30  -39.80  0.71E-10
