LAT,LON,Total_Rn2200100_Sum
-31.7,-45.45,3.9163199999999996e-08
-31.7,-36.25,3.4463616e-08
-31.7,-36.1,1.7231808e-08
-31.7,-35.95,1.7231808e-08
-31.7,-35.85,1.7231808e-08
-31.7,-35.75,1.8798336e-08
-31.7,-35.7,5.7961536e-08
-31.7,-35.55,5.7961536e-08
-31.7,-35.5,1.8798336e-08
-31.7,-35.4,1.8798336e-08
-31.7,-35.3,1.8798336e-08
-31.65,-45.6,1.7231808e-08
-31.65,-45.55,1.7231808e-08
-31.65,-45.5,5.1695424000000003e-08
-31.65,-45.45,1.7231808e-08
-31.65,-45.4,1.8798336e-08
-31.65,-36.45,1.7231808e-08
-31.65,-36.25,1.7231808e-08
-31.65,-36.2,3.4463616e-08
-31.65,-36.15,5.3261952e-08
-31.65,-36.1,1.7231808e-08
-31.65,-36.05,7.049376e-08
-31.65,-36.0,3.4463616e-08
-31.65,-35.95,5.3261952e-08
-31.65,-35.9,3.4463616e-08
-31.65,-35.85,3.4463616e-08
-31.65,-35.8,3.9163199999999996e-08
-31.65,-35.75,5.7961536e-08
-31.65,-35.65,3.9163199999999996e-08
-31.65,-35.6,1.8798336e-08
-31.65,-35.35,1.8798336e-08
-31.65,-35.3,1.8798336e-08
-31.6,-45.6,1.7231808e-08
-31.6,-45.55,5.3261952e-08
-31.6,-36.5,3.4463616e-08
-31.6,-36.4,1.7231808e-08
-31.6,-36.35,1.7231808e-08
-31.6,-36.25,3.4463616e-08
-31.6,-36.2,7.049376e-08
-31.6,-36.15,1.7231808e-08
-31.6,-36.1,5.3261952e-08
-31.6,-36.05,3.4463616e-08
-31.6,-36.0,1.7231808e-08
-31.6,-35.95,3.4463616e-08
-31.6,-35.9,1.7231808e-08
-31.6,-35.85,1.8798336e-08
-31.6,-35.7,1.8798336e-08
-31.6,-35.55,1.8798336e-08
-31.6,-35.5,7.832639999999999e-08
-31.6,-35.45,3.9163199999999996e-08
-31.6,-35.35,1.8798336e-08
-31.55,-45.6,6.8927232e-08
-31.55,-45.55,1.8798336e-08
-31.55,-45.4,1.8798336e-08
-31.55,-36.45,1.7231808e-08
-31.55,-36.35,1.7231808e-08
-31.55,-36.3,1.7231808e-08
