LAT,LON,Total_Rn2200100_Sum
31.5,-105.2,4.4803770624e-08
31.5,-105.1,2.2681908878399998e-08
31.5,-105.05,5.3204477616e-09
31.5,-105.0,5.3204477616e-09
31.5,-104.95,2.8002356640000002e-08
31.5,-104.9,1.56813197184e-08
31.5,-104.85,1.2321036921600002e-08
31.55,-105.7,1.2321036921600002e-08
31.55,-105.65,2.49220974096e-08
31.55,-105.6,1.84815553824e-08
31.55,-105.55,1.7641484683199998e-08
31.55,-105.5,1.2321036921600002e-08
31.55,-105.45,1.56813197184e-08
31.55,-105.4,3.6403063632000004e-08
31.55,-105.35,3.0802592304e-08
31.55,-105.3,4.4803770624e-08
31.55,-105.25,5.0404241951999996e-08
31.55,-105.2,4.7604006288000006e-08
31.55,-105.1,3.3602827968e-08
31.55,-105.05,1.6521390417600003e-08
31.55,-105.0,6.160518460800001e-09
31.55,-104.95,3.6403063632000004e-08
31.55,-104.9,5.3204477616e-09
31.55,-104.85,1.2321036921600002e-08
31.6,-105.75,1.2321036921600002e-08
31.6,-105.7,3.3602827968e-08
31.6,-105.65,1.87615789488e-08
31.6,-105.6,6.160518460800001e-09
31.6,-105.55,2.8002356640000002e-08
31.6,-105.5,1.14809662224e-08
31.6,-105.45,3.0802592304e-08
31.6,-105.4,3.0802592304e-08
31.6,-105.35,3.9203299296e-08
31.6,-105.3,5.3204477616e-08
31.6,-105.25,6.4405420272e-08
31.6,-105.2,1.6521390417600003e-08
31.6,-105.15,2.07217439136e-08
31.6,-105.1,1.2321036921600002e-08
31.6,-105.05,1.14809662224e-08
31.6,-105.0,2.8002356640000002e-08
31.6,-104.95,2.1841838179199997e-08
31.6,-104.9,1.2321036921600002e-08
31.65,-105.75,1.84815553824e-08
31.65,-105.7,1.7641484683199998e-08
31.65,-105.65,1.2321036921600002e-08
31.65,-105.6,6.160518460800001e-09
31.65,-105.55,2.8002356640000002e-08
31.65,-105.45,2.71622859408e-08
31.65,-105.4,4.7604006288000006e-08
31.65,-105.35,5.3204477616e-08
31.65,-105.3,5.6004713280000004e-08
31.65,-105.25,1.0080848390399999e-07
31.65,-105.2,5.3204477616e-09
31.65,-105.15,1.03608719568e-08
31.65,-105.1,2.2681908878399998e-08
31.65,-105.05,2.29619324448e-08
31.65,-105.0,3.9203299296e-08
31.65,-104.9,1.03608719568e-08
31.7,-105.75,1.2321036921600002e-08
31.7,-105.7,2.8002356640000002e-08
31.7,-105.65,1.6521390417600003e-08
31.7,-105.6,1.03608719568e-08
31.7,-105.55,5.6004713280000004e-08
31.7,-105.5,5.3204477616e-09
31.7,-105.45,3.9203299296e-08
31.7,-105.4,3.3602827968e-08
31.7,-105.35,6.4405420272e-08
31.7,-105.3,7.280612726400001e-08
31.7,-105.25,5.0404241951999996e-08
31.7,-105.2,1.03608719568e-08
