YEAR  MO  DA  HR    LAT     LON Rn2200100
2014   7  20  12  22.45   86.25  0.43E-10
2014   7  20  12  22.50   86.25  0.54E-10
2014   7  20  12  22.55   86.25  0.35E-10
2014   7  20  12  22.35   86.30  0.92E-11
2014   7  20  12  22.40   86.30  0.84E-10
2014   7  20  12  22.45   86.30  0.78E-10
2014   7  20  12  22.50   86.30  0.79E-10
2014   7  20  12  22.55   86.30  0.93E-10
2014   7  20  12  22.60   86.30  0.10E-09
2014   7  20  12  22.65   86.30  0.29E-10
2014   7  20  12  22.35   86.35  0.80E-10
2014   7  20  12  22.40   86.35  0.71E-10
2014   7  20  12  22.45   86.35  0.71E-10
2014   7  20  12  22.50   86.35  0.58E-10
2014   7  20  12  22.55   86.35  0.77E-10
2014   7  20  12  22.60   86.35  0.17E-09
2014   7  20  12  22.65   86.35  0.13E-09
2014   7  20  12  22.30   86.40  0.38E-10
2014   7  20  12  22.35   86.40  0.71E-10
2014   7  20  12  22.40   86.40  0.28E-10
2014   7  20  12  22.45   86.40  0.36E-10
2014   7  20  12  22.50   86.40  0.59E-10
2014   7  20  12  22.55   86.40  0.92E-10
2014   7  20  12  22.60   86.40  0.10E-09
2014   7  20  12  22.65   86.40  0.14E-10
2014   7  20  12  22.25   86.45  0.39E-12
2014   7  20  12  22.30   86.45  0.76E-10
2014   7  20  12  22.35   86.45  0.25E-10
2014   7  20  12  22.40   86.45  0.19E-10
2014   7  20  12  22.45   86.45  0.20E-10
2014   7  20  12  22.50   86.45  0.33E-10
2014   7  20  12  22.55   86.45  0.42E-10
2014   7  20  12  22.60   86.45  0.14E-10
2014   7  20  12  22.25   86.50  0.31E-10
2014   7  20  12  22.30   86.50  0.46E-10
2014   7  20  12  22.35   86.50  0.12E-10
2014   7  20  12  22.40   86.50  0.11E-10
2014   7  20  12  22.45   86.50  0.95E-11
2014   7  20  12  22.50   86.50  0.47E-11
2014   7  20  12  22.25   86.55  0.31E-10
2014   7  20  12  22.30   86.55  0.34E-11
2014   7  20  12  22.25   86.60  0.13E-10
2014   7  20  12  22.25   86.65  0.37E-12
2014   7  21   0  22.65   86.35  0.24E-09
2014   7  21   0  22.60   86.40  0.10E-09
2014   7  21   0  22.65   86.40  0.25E-09
2014   7  21   0  22.70   86.40  0.40E-10
2014   7  21   0  22.50   86.45  0.36E-11
2014   7  21   0  22.55   86.45  0.39E-10
2014   7  21   0  22.60   86.45  0.13E-09
2014   7  21   0  22.65   86.45  0.16E-09
2014   7  21   0  22.70   86.45  0.50E-10
2014   7  21   0  22.25   86.50  0.65E-12
2014   7  21   0  22.30   86.50  0.11E-10
2014   7  21   0  22.35   86.50  0.69E-11
2014   7  21   0  22.40   86.50  0.72E-11
2014   7  21   0  22.45   86.50  0.19E-10
2014   7  21   0  22.50   86.50  0.36E-10
2014   7  21   0  22.55   86.50  0.45E-10
2014   7  21   0  22.60   86.50  0.11E-09
2014   7  21   0  22.65   86.50  0.15E-09
2014   7  21   0  22.70   86.50  0.22E-10
2014   7  21   0  22.25   86.55  0.26E-10
2014   7  21   0  22.30   86.55  0.18E-10
