YEAR  MO  DA  HR    LAT     LON Rn2200100
2011   7  18   0  23.00   85.80  0.53E-11
2011   7  18   0  23.05   85.80  0.43E-11
2011   7  18   0  23.10   85.80  0.39E-11
2011   7  18   0  23.15   85.80  0.44E-11
2011   7  18   0  23.20   85.80  0.27E-11
2011   7  18   0  23.25   85.80  0.16E-11
2011   7  18   0  23.30   85.80  0.75E-12
2011   7  18   0  23.35   85.80  0.12E-12
2011   7  18   0  22.65   85.85  0.26E-12
2011   7  18   0  22.70   85.85  0.21E-11
2011   7  18   0  22.75   85.85  0.63E-11
2011   7  18   0  22.80   85.85  0.14E-10
2011   7  18   0  22.85   85.85  0.16E-10
2011   7  18   0  22.90   85.85  0.85E-11
2011   7  18   0  22.95   85.85  0.68E-11
2011   7  18   0  23.00   85.85  0.62E-11
2011   7  18   0  23.05   85.85  0.61E-11
2011   7  18   0  23.10   85.85  0.56E-11
2011   7  18   0  23.15   85.85  0.47E-11
2011   7  18   0  23.20   85.85  0.42E-11
2011   7  18   0  23.25   85.85  0.29E-11
2011   7  18   0  23.30   85.85  0.13E-11
2011   7  18   0  23.35   85.85  0.22E-12
2011   7  18   0  22.65   85.90  0.89E-12
2011   7  18   0  22.70   85.90  0.18E-11
2011   7  18   0  22.75   85.90  0.54E-11
2011   7  18   0  22.80   85.90  0.12E-10
2011   7  18   0  22.85   85.90  0.15E-10
2011   7  18   0  22.90   85.90  0.13E-10
2011   7  18   0  22.95   85.90  0.81E-11
2011   7  18   0  23.00   85.90  0.61E-11
2011   7  18   0  23.05   85.90  0.49E-11
2011   7  18   0  23.10   85.90  0.50E-11
2011   7  18   0  23.15   85.90  0.48E-11
2011   7  18   0  23.20   85.90  0.60E-11
2011   7  18   0  23.25   85.90  0.44E-11
2011   7  18   0  23.30   85.90  0.19E-11
2011   7  18   0  23.35   85.90  0.58E-12
2011   7  18   0  23.40   85.90  0.12E-12
2011   7  18   0  22.65   85.95  0.26E-12
2011   7  18   0  22.70   85.95  0.37E-11
2011   7  18   0  22.75   85.95  0.81E-11
2011   7  18   0  22.80   85.95  0.18E-10
2011   7  18   0  22.85   85.95  0.15E-10
2011   7  18   0  22.90   85.95  0.10E-10
2011   7  18   0  22.95   85.95  0.11E-10
2011   7  18   0  23.00   85.95  0.86E-11
2011   7  18   0  23.05   85.95  0.63E-11
2011   7  18   0  23.10   85.95  0.54E-11
2011   7  18   0  23.15   85.95  0.73E-11
2011   7  18   0  23.20   85.95  0.49E-11
2011   7  18   0  23.25   85.95  0.57E-11
2011   7  18   0  23.30   85.95  0.34E-11
2011   7  18   0  23.35   85.95  0.58E-12
2011   7  18   0  22.70   86.00  0.15E-11
2011   7  18   0  22.75   86.00  0.99E-11
2011   7  18   0  22.80   86.00  0.13E-10
2011   7  18   0  22.85   86.00  0.14E-10
2011   7  18   0  22.90   86.00  0.11E-10
2011   7  18   0  22.95   86.00  0.74E-11
2011   7  18   0  23.00   86.00  0.76E-11
2011   7  18   0  23.05   86.00  0.80E-11
2011   7  18   0  23.10   86.00  0.85E-11
2011   7  18   0  23.15   86.00  0.70E-11
2011   7  18   0  23.20   86.00  0.11E-10
2011   7  18   0  23.25   86.00  0.88E-11
2011   7  18   0  23.30   86.00  0.40E-11
2011   7  18   0  23.35   86.00  0.33E-12
2011   7  18   0  23.40   86.00  0.12E-12
2011   7  18   0  22.65   86.05  0.78E-12
2011   7  18   0  22.70   86.05  0.42E-11
2011   7  18   0  22.75   86.05  0.12E-10
2011   7  18   0  22.80   86.05  0.18E-10
2011   7  18   0  22.85   86.05  0.17E-10
2011   7  18   0  22.90   86.05  0.13E-10
2011   7  18   0  22.95   86.05  0.10E-10
2011   7  18   0  23.00   86.05  0.77E-11
2011   7  18   0  23.05   86.05  0.72E-11
2011   7  18   0  23.10   86.05  0.72E-11
2011   7  18   0  23.15   86.05  0.11E-10
2011   7  18   0  23.20   86.05  0.97E-11
2011   7  18   0  23.25   86.05  0.67E-11
2011   7  18   0  23.30   86.05  0.24E-11
2011   7  18   0  23.35   86.05  0.84E-12
2011   7  18   0  22.65   86.10  0.14E-11
2011   7  18   0  22.70   86.10  0.21E-11
2011   7  18   0  22.75   86.10  0.85E-11
2011   7  18   0  22.80   86.10  0.19E-10
2011   7  18   0  22.85   86.10  0.20E-10
2011   7  18   0  22.90   86.10  0.13E-10
2011   7  18   0  22.95   86.10  0.10E-10
2011   7  18   0  23.00   86.10  0.86E-11
2011   7  18   0  23.05   86.10  0.91E-11
2011   7  18   0  23.10   86.10  0.10E-10
2011   7  18   0  23.15   86.10  0.10E-10
2011   7  18   0  23.20   86.10  0.81E-11
2011   7  18   0  23.25   86.10  0.67E-11
2011   7  18   0  23.30   86.10  0.47E-11
2011   7  18   0  23.35   86.10  0.17E-11
2011   7  18   0  22.70   86.15  0.43E-11
2011   7  18   0  22.75   86.15  0.12E-10
2011   7  18   0  22.80   86.15  0.18E-10
2011   7  18   0  22.85   86.15  0.15E-10
2011   7  18   0  22.90   86.15  0.13E-10
2011   7  18   0  22.95   86.15  0.11E-10
2011   7  18   0  23.00   86.15  0.98E-11
2011   7  18   0  23.05   86.15  0.93E-11
2011   7  18   0  23.10   86.15  0.11E-10
2011   7  18   0  23.15   86.15  0.11E-10
2011   7  18   0  23.20   86.15  0.95E-11
2011   7  18   0  23.25   86.15  0.11E-10
2011   7  18   0  23.30   86.15  0.63E-11
2011   7  18   0  23.35   86.15  0.48E-12
2011   7  18   0  22.65   86.20  0.26E-12
2011   7  18   0  22.70   86.20  0.33E-11
2011   7  18   0  22.75   86.20  0.19E-10
2011   7  18   0  22.80   86.20  0.23E-10
2011   7  18   0  22.85   86.20  0.18E-10
2011   7  18   0  22.90   86.20  0.13E-10
2011   7  18   0  22.95   86.20  0.12E-10
2011   7  18   0  23.00   86.20  0.10E-10
2011   7  18   0  23.05   86.20  0.93E-11
2011   7  18   0  23.10   86.20  0.78E-11
2011   7  18   0  23.15   86.20  0.82E-11
2011   7  18   0  23.20   86.20  0.13E-10
2011   7  18   0  23.25   86.20  0.11E-10
2011   7  18   0  23.30   86.20  0.35E-11
2011   7  18   0  23.35   86.20  0.16E-11
2011   7  18   0  23.40   86.20  0.37E-12
2011   7  18   0  22.70   86.25  0.27E-11
2011   7  18   0  22.75   86.25  0.30E-10
2011   7  18   0  22.80   86.25  0.56E-10
2011   7  18   0  22.85   86.25  0.36E-10
2011   7  18   0  22.90   86.25  0.21E-10
2011   7  18   0  22.95   86.25  0.13E-10
2011   7  18   0  23.00   86.25  0.10E-10
2011   7  18   0  23.05   86.25  0.10E-10
