LAT,LON,Total_Rn2200010
-21.5,-48.2,0.00011
-21.5,-48.15,0.0015
-21.5,-48.1,0.0007199999999999999
-21.5,-48.05,0.00023666666666666663
-21.5,-48.0,0.0013
-21.5,-47.95,0.000865
-21.5,-47.9,0.000655
-21.5,-47.85,0.00028000000000000003
-21.5,-47.8,0.0001
-21.5,-47.75,0.0001
-21.5,-47.7,0.0001
-21.5,-47.65,0.00041
-21.5,-47.45,0.0002
-21.5,-47.35,0.00021500000000000002
-21.5,-47.3,0.00055
-21.5,-47.0,0.0001
-21.5,-46.9,0.0001
-21.5,-46.35,0.0001
-21.5,-46.3,0.00041
-21.45,-49.6,0.0001
-21.45,-49.45,0.0001
-21.45,-49.4,0.0001
-21.45,-49.35,0.00035
-21.45,-49.3,0.00056
-21.45,-49.25,0.00012
-21.45,-49.2,0.00093
-21.45,-49.15,0.00035
-21.45,-49.1,0.00021349999999999999
-21.45,-48.95,0.00012
-21.45,-48.85,0.00015000000000000001
-21.45,-48.8,0.0006066666666666667
-21.45,-48.75,0.00112
-21.45,-48.7,0.0005
-21.45,-48.65,0.00011
-21.45,-48.6,0.0001
-21.45,-48.55,0.0001
-21.45,-48.5,0.0001
-21.45,-48.35,0.00025
-21.45,-48.3,0.00095
-21.45,-48.25,0.0005533333333333333
-21.45,-48.2,0.0011
-21.45,-48.15,0.00082
-21.45,-48.1,0.00083
-21.45,-48.05,0.00040666666666666667
-21.45,-48.0,0.00029
-21.45,-47.95,0.0003466666666666666
-21.45,-47.9,0.00041
-21.45,-47.85,0.00021666666666666666
-21.45,-47.8,0.00010666666666666668
-21.45,-47.75,0.0002566666666666667
-21.45,-47.7,0.000155
-21.45,-47.65,0.00023
-21.45,-47.4,0.0001
-21.45,-47.35,0.00031999999999999997
-21.45,-47.3,0.00055
-21.45,-47.0,0.0001
-21.45,-46.95,0.000115
-21.45,-46.85,0.00012
-21.45,-46.75,0.00011
-21.4,-49.75,0.0001
-21.4,-49.35,0.00075
-21.4,-49.3,0.00165
-21.4,-49.25,0.0006000000000000001
-21.4,-49.15,0.00047
-21.4,-49.1,0.00017
-21.4,-49.05,0.00035
-21.4,-49.0,0.000165
-21.4,-48.95,0.000155
-21.4,-48.9,0.000205
-21.4,-48.85,0.0001894
-21.4,-48.8,0.00069
-21.4,-48.75,0.0015733333333333335
-21.4,-48.7,0.001355
-21.4,-48.65,0.00046
-21.4,-48.6,0.00011
-21.4,-48.55,0.00011
-21.4,-48.5,0.00012
-21.4,-48.45,0.00015000000000000001
-21.4,-48.4,0.00016
-21.4,-48.35,0.00066
-21.4,-48.3,0.00087
-21.4,-48.25,0.00012
-21.4,-48.2,0.00037166666666666663
-21.4,-48.15,0.0018
-21.4,-48.1,0.0005333333333333333
-21.4,-48.05,0.000815
-21.4,-48.0,0.000215
-21.4,-47.95,0.00031
-21.4,-47.9,0.0005
-21.4,-47.85,0.00021500000000000002
-21.4,-47.8,0.0001
-21.4,-47.75,0.00022
-21.4,-47.7,0.00016333333333333334
-21.4,-47.6,0.00017
-21.4,-47.55,0.0001575
-21.4,-47.5,0.00051
-21.4,-47.45,0.001052
-21.4,-47.4,0.00041
-21.4,-47.35,0.000575
-21.4,-47.3,0.00055
-21.4,-47.25,0.00017
-21.4,-47.2,0.00023
-21.4,-47.1,0.0001
-21.4,-47.05,0.00023
-21.4,-46.85,0.0002
-21.4,-46.75,0.00012
-21.4,-46.45,0.00012
-21.4,-45.6,6.8e-05
-21.4,-45.2,8.6e-05
-21.35,-50.5,0.00011
-21.35,-49.8,0.00031
-21.35,-49.75,0.00036333333333333335
-21.35,-49.7,0.0001
-21.35,-49.45,0.0001
-21.35,-49.4,0.0001
-21.35,-49.3,0.0029
-21.35,-49.25,0.0013800000000000002
-21.35,-49.2,0.0003133333333333334
-21.35,-49.15,0.00018
-21.35,-49.1,0.0001645
-21.35,-49.05,0.000224
-21.35,-49.0,0.00023
-21.35,-48.95,0.000215
-21.35,-48.9,0.000275
-21.35,-48.85,0.00019
-21.35,-48.8,0.0009666666666666666
-21.35,-48.75,0.0017666666666666666
-21.35,-48.7,0.0013025000000000003
-21.35,-48.65,0.00054
-21.35,-48.6,0.0001925
-21.35,-48.55,0.00031
-21.35,-48.5,0.00016
-21.35,-48.45,0.000135
-21.35,-48.4,0.0001
-21.35,-48.35,0.00026000000000000003
-21.35,-48.3,0.0008
-21.35,-48.25,0.000645
-21.35,-48.2,0.0005066666666666667
-21.35,-48.15,0.0013599999999999999
-21.35,-48.1,0.0017666666666666666
-21.35,-48.05,0.001382
-21.35,-48.0,0.001
-21.35,-47.95,0.0002475
-21.35,-47.9,0.000254
-21.35,-47.85,0.00017
-21.35,-47.8,0.00018
-21.35,-47.75,0.00021
-21.35,-47.7,0.00017
-21.35,-47.65,0.00011
-21.35,-47.6,0.0005566666666666667
-21.35,-47.55,0.0003466666666666667
-21.35,-47.5,0.0021175
-21.35,-47.45,0.0022125
-21.35,-47.4,0.0004925
-21.35,-47.35,0.00024
-21.35,-47.3,0.00038500000000000003
-21.35,-47.25,0.000255
-21.35,-47.15,0.00014333333333333334
-21.35,-47.1,0.000165
-21.35,-47.05,0.0002
-21.35,-47.0,0.0001
-21.35,-46.8,0.00024
-21.35,-45.2,8.6e-05
-21.3,-50.5,0.00034
-21.3,-50.3,0.0001
-21.3,-50.1,0.00011
-21.3,-50.05,0.00045
-21.3,-49.95,0.00017
-21.3,-49.85,0.00011
-21.3,-49.8,0.0002
-21.3,-49.75,0.0027
-21.3,-49.7,0.0041
-21.3,-49.65,0.00035999999999999997
-21.3,-49.6,0.00023
-21.3,-49.55,0.00034
-21.3,-49.5,0.00011
-21.3,-49.4,0.00031
-21.3,-49.35,0.000465
-21.3,-49.3,0.0005033333333333334
-21.3,-49.25,0.0015366666666666669
-21.3,-49.2,0.00305
-21.3,-49.15,0.00054
-21.3,-49.1,0.00027800000000000004
-21.3,-49.05,0.00021633333333333335
-21.3,-49.0,0.00023
-21.3,-48.95,9.9e-05
-21.3,-48.9,0.0001
-21.3,-48.85,0.000202
-21.3,-48.8,0.00024249999999999999
-21.3,-48.75,0.0009914
-21.3,-48.7,0.001428
-21.3,-48.65,0.0008228571428571428
-21.3,-48.6,0.00020714285714285713
-21.3,-48.55,0.00016
-21.3,-48.5,0.00024
-21.3,-48.45,0.00019
-21.3,-48.35,0.00022
-21.3,-48.3,0.00030333333333333335
-21.3,-48.25,0.0006733333333333334
-21.3,-48.2,0.00045000000000000004
-21.3,-48.15,0.0012150000000000002
-21.3,-48.1,0.0011716666666666666
-21.3,-48.05,0.00288
-21.3,-48.0,0.0011324999999999998
-21.3,-47.95,0.00038750000000000004
-21.3,-47.9,0.0004075
-21.3,-47.85,0.00022833333333333334
-21.3,-47.8,0.00024142857142857145
-21.3,-47.75,0.000245
-21.3,-47.7,0.00015
-21.3,-47.65,0.000632
-21.3,-47.6,0.00058
-21.3,-47.55,0.00037
-21.3,-47.5,0.0031216666666666667
-21.3,-47.45,0.0020575
-21.3,-47.4,0.00039
-21.3,-47.35,0.0001375
-21.3,-47.3,0.000215
-21.3,-47.25,0.000375
-21.3,-47.2,0.0001
-21.3,-47.15,0.00027333333333333333
-21.3,-47.1,0.0001
-21.3,-47.05,0.0001
-21.3,-47.0,0.00031
-21.3,-46.75,0.00012
-21.3,-46.7,0.00021
-21.3,-46.5,0.0001475
-21.3,-45.8,7.9e-05
-21.3,-45.65,0.00012
-21.3,-45.55,0.00034
-21.3,-45.4,0.0001
-21.25,-50.4,0.0001
-21.25,-50.35,0.00023
-21.25,-50.3,0.00034
-21.25,-50.15,0.00031
-21.25,-50.05,0.00023
-21.25,-50.0,0.00023
-21.25,-49.9,0.00015000000000000001
-21.25,-49.85,0.0002
-21.25,-49.75,0.000275
-21.25,-49.7,0.00197
-21.25,-49.65,0.0036
-21.25,-49.6,0.002
-21.25,-49.55,0.00044
-21.25,-49.35,0.00016
-21.25,-49.3,0.0002866666666666667
-21.25,-49.25,0.0003625
-21.25,-49.2,0.001092
-21.25,-49.15,0.00254
-21.25,-49.1,0.00062
-21.25,-49.05,0.000115
-21.25,-49.0,0.0003366666666666667
-21.25,-48.95,0.0001566666666666667
-21.25,-48.9,0.00018333333333333334
-21.25,-48.85,0.00015
-21.25,-48.8,0.00020600000000000002
-21.25,-48.75,0.0006793999999999999
-21.25,-48.7,0.00152125
-21.25,-48.65,0.0012216666666666667
-21.25,-48.6,0.000955
-21.25,-48.55,0.00022600000000000002
-21.25,-48.5,0.00018500000000000002
-21.25,-48.45,0.000162
-21.25,-48.4,0.00026333333333333336
-21.25,-48.35,0.0001
-21.25,-48.3,0.000306
-21.25,-48.25,0.0009099999999999999
-21.25,-48.2,0.00049
-21.25,-48.15,0.00040666666666666667
-21.25,-48.1,0.00149
-21.25,-48.05,0.002975
-21.25,-48.0,0.00213
-21.25,-47.95,0.00052
-21.25,-47.9,0.0002471428571428572
-21.25,-47.85,0.00022666666666666668
-21.25,-47.8,0.0002528571428571429
-21.25,-47.75,0.00044285714285714284
-21.25,-47.7,0.0008288888888888889
-21.25,-47.65,0.0009157142857142857
-21.25,-47.6,0.0011683333333333335
-21.25,-47.55,0.000555
-21.25,-47.5,0.004898571428571428
-21.25,-47.45,0.00093
-21.25,-47.4,0.00031800000000000003
-21.25,-47.35,0.00023
-21.25,-47.3,0.00061
-21.25,-47.25,0.00044500000000000003
-21.25,-47.2,0.0005333333333333334
-21.25,-47.15,0.00051
-21.25,-47.1,0.0006100000000000001
-21.25,-47.05,0.00011
-21.25,-47.0,0.000215
-21.25,-46.95,0.00017
-21.25,-46.7,0.00011
-21.25,-46.5,0.0001
-21.25,-45.7,0.00012
-21.25,-45.65,9.449999999999999e-05
-21.2,-50.4,0.0001
-21.2,-50.35,0.00031
-21.2,-50.25,0.00011
-21.2,-50.15,0.0001
-21.2,-50.1,0.0002
-21.2,-49.85,0.0002
-21.2,-49.75,0.0003
-21.2,-49.7,0.00031
-21.2,-49.65,0.0023
-21.2,-49.6,0.00485
-21.2,-49.55,0.00335
-21.2,-49.5,0.0006399999999999999
-21.2,-49.4,0.00014333333333333334
-21.2,-49.35,0.00018333333333333334
-21.2,-49.3,0.00038500000000000003
-21.2,-49.25,0.00029200000000000005
-21.2,-49.2,0.0005228333333333334
-21.2,-49.15,0.0009800000000000002
-21.2,-49.1,0.0016431999999999998
-21.2,-49.05,0.00049
-21.2,-49.0,0.000345
-21.2,-48.95,0.0002642857142857143
-21.2,-48.9,0.00045000000000000004
-21.2,-48.85,0.00023428571428571427
-21.2,-48.8,0.00020333333333333336
-21.2,-48.75,0.00029
-21.2,-48.7,0.001210625
-21.2,-48.65,0.0019914285714285715
-21.2,-48.6,0.0008714285714285715
-21.2,-48.55,0.0002466666666666667
-21.2,-48.5,0.00028225
-21.2,-48.45,0.0001885
-21.2,-48.4,0.0002
-21.2,-48.35,0.00017
-21.2,-48.3,0.0004975
-21.2,-48.25,0.0005420000000000001
-21.2,-48.2,0.0010825
-21.2,-48.15,0.00028875
-21.2,-48.1,0.00098625
-21.2,-48.05,0.0028500000000000005
-21.2,-48.0,0.002972
-21.2,-47.95,0.000736
-21.2,-47.9,0.000355
-21.2,-47.85,0.00030000000000000003
-21.2,-47.8,0.00037
-21.2,-47.75,0.002082857142857143
-21.2,-47.7,0.0014275000000000002
-21.2,-47.65,0.001525
-21.2,-47.6,0.0013771428571428574
-21.2,-47.55,0.00059875
-21.2,-47.5,0.005374444444444445
-21.2,-47.45,0.0006066666666666667
-21.2,-47.4,0.00025
-21.2,-47.35,0.00065
-21.2,-47.3,0.0002757142857142857
-21.2,-47.25,0.0006625
-21.2,-47.2,0.00025
-21.2,-47.15,0.000334
-21.2,-47.1,0.000625
-21.2,-47.05,0.00027
-21.2,-47.0,0.00023000000000000003
-21.2,-46.95,0.00023666666666666668
-21.2,-46.9,0.00022333333333333333
-21.2,-46.8,0.00022
-21.2,-46.75,0.0002
-21.2,-46.7,0.00021
-21.2,-46.65,9.8e-05
-21.2,-46.55,8.5e-05
-21.2,-45.85,0.0001
-21.2,-45.7,0.00017
-21.2,-45.65,9.9e-05
-21.15,-50.45,0.00031
-21.15,-50.4,0.00031
-21.15,-50.35,0.0001
-21.15,-50.3,0.00031
-21.15,-50.25,0.00021
-21.15,-49.95,0.0001
-21.15,-49.9,0.00011
-21.15,-49.75,0.00012
-21.15,-49.7,0.00022
-21.15,-49.65,0.00036
-21.15,-49.6,0.0007066666666666666
-21.15,-49.55,0.004464999999999999
-21.15,-49.5,0.0031166666666666665
-21.15,-49.45,0.0017825
-21.15,-49.4,0.00033600000000000004
-21.15,-49.35,0.0003275
-21.15,-49.3,0.00019500000000000002
-21.15,-49.25,0.00026199999999999997
-21.15,-49.2,0.0003114
-21.15,-49.15,0.00032985714285714286
-21.15,-49.1,0.0014599999999999997
-21.15,-49.05,0.001938333333333333
-21.15,-49.0,0.0007875
-21.15,-48.95,0.00031
-21.15,-48.9,0.00038714285714285717
-21.15,-48.85,0.00048125
-21.15,-48.8,0.00031
-21.15,-48.75,0.0004222222222222222
-21.15,-48.7,0.0006744444444444444
-21.15,-48.65,0.00155625
-21.15,-48.6,0.0014420000000000001
-21.15,-48.55,0.0003572727272727273
-21.15,-48.5,0.00032375000000000004
-21.15,-48.45,0.00028879999999999997
-21.15,-48.4,0.00017
-21.15,-48.35,0.00023333333333333333
-21.15,-48.3,0.0002625
