YEAR  MO  DA  HR    LAT     LON Rn2200005
2020   2  21  12 -23.13  -47.14  0.23E-11
2020   2  21  12 -23.08  -47.14  0.23E-11
2020   2  21  12 -23.03  -47.14  0.11E-11
2020   2  21  12 -23.08  -47.09  0.11E-11
2020   2  21  12 -23.03  -47.09  0.34E-11
2020   2  21  12 -23.28  -47.04  0.11E-11
2020   2  21  12 -23.23  -47.04  0.11E-11
2020   2  21  12 -23.03  -47.04  0.11E-11
2020   2  21  12 -22.98  -47.04  0.22E-11
2020   2  21  12 -23.33  -46.99  0.12E-11
2020   2  21  12 -23.23  -46.99  0.13E-11
2020   2  21  12 -23.18  -46.99  0.13E-11
2020   2  21  12 -23.13  -46.99  0.13E-11
2020   2  21  12 -22.98  -46.99  0.13E-11
2020   2  21  12 -22.88  -46.99  0.11E-11
2020   2  21  12 -23.38  -46.94  0.12E-11
2020   2  21  12 -23.28  -46.94  0.13E-11
2020   2  21  12 -23.23  -46.94  0.13E-11
2020   2  21  12 -23.18  -46.94  0.26E-11
2020   2  21  12 -23.13  -46.94  0.13E-11
2020   2  21  12 -23.08  -46.94  0.39E-11
2020   2  21  12 -23.03  -46.94  0.13E-11
2020   2  21  12 -23.38  -46.89  0.12E-11
2020   2  21  12 -23.33  -46.89  0.35E-11
2020   2  21  12 -23.28  -46.89  0.13E-11
2020   2  21  12 -23.23  -46.89  0.13E-11
2020   2  21  12 -23.13  -46.89  0.13E-11
2020   2  21  12 -23.43  -46.84  0.13E-11
2020   2  21  12 -23.33  -46.84  0.38E-11
2020   2  21  12 -23.28  -46.84  0.13E-11
2020   2  21  12 -23.23  -46.84  0.25E-11
2020   2  21  12 -23.18  -46.84  0.13E-11
2020   2  21  12 -23.13  -46.84  0.11E-11
2020   2  21  12 -23.48  -46.79  0.29E-11
2020   2  21  12 -23.43  -46.79  0.26E-11
2020   2  21  12 -23.38  -46.79  0.13E-11
2020   2  21  12 -23.33  -46.79  0.27E-11
2020   2  21  12 -23.28  -46.79  0.13E-11
2020   2  21  12 -23.18  -46.79  0.13E-11
2020   2  21  12 -23.58  -46.74  0.16E-11
2020   2  21  12 -23.53  -46.74  0.32E-11
2020   2  21  12 -23.38  -46.74  0.13E-11
2020   2  21  12 -23.33  -46.74  0.13E-11
2020   2  21  12 -23.28  -46.74  0.13E-11
2020   2  21  12 -23.13  -46.74  0.13E-11
2020   2  21  12 -23.63  -46.69  0.16E-11
2020   2  21  12 -23.38  -46.69  0.13E-11
2020   2  21  12 -23.33  -46.69  0.40E-11
2020   2  21  12 -23.58  -46.64  0.34E-11
2020   2  21  12 -23.53  -46.64  0.27E-11
2020   2  21  12 -23.43  -46.64  0.12E-11
2020   2  21  12 -23.38  -46.64  0.14E-11
2020   2  21  12 -23.33  -46.64  0.26E-11
2020   2  21  12 -23.73  -46.59  0.16E-11
2020   2  21  12 -23.68  -46.59  0.16E-11
2020   2  21  12 -23.63  -46.59  0.37E-11
2020   2  21  12 -23.58  -46.59  0.27E-11
2020   2  21  12 -23.53  -46.59  0.13E-11
2020   2  21  12 -23.48  -46.59  0.81E-11
2020   2  21  12 -23.43  -46.59  0.13E-11
2020   2  21  12 -23.38  -46.59  0.13E-11
2020   2  21  12 -23.78  -46.54  0.32E-11
2020   2  21  12 -23.73  -46.54  0.64E-11
2020   2  21  12 -23.68  -46.54  0.37E-11
2020   2  21  12 -23.63  -46.54  0.55E-11
2020   2  21  12 -23.58  -46.54  0.28E-11
2020   2  21  12 -23.53  -46.54  0.40E-11
2020   2  21  12 -23.38  -46.54  0.13E-11
2020   2  21  12 -23.78  -46.49  0.51E-11
2020   2  21  12 -23.73  -46.49  0.18E-11
2020   2  21  12 -23.68  -46.49  0.37E-11
2020   2  21  12 -23.63  -46.49  0.27E-11
2020   2  21  12 -23.58  -46.49  0.27E-11
2020   2  21  12 -23.53  -46.49  0.41E-11
2020   2  21  12 -23.48  -46.49  0.13E-11
2020   2  21  12 -23.43  -46.49  0.14E-11
2020   2  21  12 -23.83  -46.44  0.67E-11
2020   2  21  12 -23.78  -46.44  0.16E-10
2020   2  21  12 -23.73  -46.44  0.15E-10
2020   2  21  12 -23.68  -46.44  0.13E-10
2020   2  21  12 -23.58  -46.44  0.13E-11
2020   2  21  12 -23.83  -46.39  0.18E-10
2020   2  21  12 -23.78  -46.39  0.69E-10
2020   2  21  12 -23.73  -46.39  0.81E-11
2020   2  21  12 -23.68  -46.39  0.13E-11
2020   2  22   0 -22.48  -47.74  0.79E-12
2020   2  22   0 -22.28  -47.64  0.79E-12
2020   2  22   0 -22.53  -47.44  0.85E-12
2020   2  22   0 -22.93  -47.39  0.88E-12
2020   2  22   0 -22.73  -47.39  0.87E-12
2020   2  22   0 -22.63  -47.39  0.79E-12
2020   2  22   0 -22.48  -47.39  0.81E-12
2020   2  22   0 -22.38  -47.39  0.84E-12
2020   2  22   0 -22.18  -47.39  0.68E-12
2020   2  22   0 -22.78  -47.34  0.88E-12
2020   2  22   0 -22.88  -47.29  0.87E-12
2020   2  22   0 -22.38  -47.29  0.97E-12
2020   2  22   0 -23.08  -47.24  0.13E-11
2020   2  22   0 -23.03  -47.24  0.11E-11
2020   2  22   0 -22.78  -47.24  0.88E-12
2020   2  22   0 -22.73  -47.24  0.19E-11
2020   2  22   0 -22.68  -47.24  0.10E-11
2020   2  22   0 -22.28  -47.24  0.98E-12
2020   2  22   0 -23.08  -47.19  0.13E-11
2020   2  22   0 -23.03  -47.19  0.13E-11
2020   2  22   0 -22.93  -47.19  0.24E-11
2020   2  22   0 -22.88  -47.19  0.10E-11
2020   2  22   0 -22.73  -47.19  0.30E-11
2020   2  22   0 -22.53  -47.19  0.80E-12
2020   2  22   0 -23.13  -47.14  0.13E-11
2020   2  22   0 -23.03  -47.14  0.13E-11
2020   2  22   0 -22.93  -47.14  0.10E-11
2020   2  22   0 -22.88  -47.14  0.10E-11
2020   2  22   0 -22.83  -47.14  0.88E-12
2020   2  22   0 -22.78  -47.14  0.87E-12
2020   2  22   0 -22.73  -47.14  0.20E-11
2020   2  22   0 -22.68  -47.14  0.98E-12
2020   2  22   0 -22.63  -47.14  0.10E-11
2020   2  22   0 -22.58  -47.14  0.97E-12
2020   2  22   0 -22.53  -47.14  0.81E-12
2020   2  22   0 -22.33  -47.14  0.16E-11
2020   2  22   0 -22.18  -47.14  0.79E-12
2020   2  22   0 -22.13  -47.14  0.69E-12
