YEAR  MO  DA  HR    LAT     LON Rn2200100
2010   8  17  12  40.00  -90.00  0.21E-09
2010   8  17  12  39.95  -89.95  0.28E-11
2010   8  17  12  40.00  -89.95  0.23E-09
2010   8  17  12  40.05  -89.95  0.11E-09
2010   8  17  12  39.95  -89.90  0.20E-10
2010   8  17  12  40.00  -89.90  0.68E-10
2010   8  17  12  40.05  -89.90  0.19E-09
2010   8  17  12  39.95  -89.85  0.31E-10
2010   8  17  12  40.00  -89.85  0.45E-10
2010   8  17  12  40.05  -89.85  0.11E-09
2010   8  17  12  40.10  -89.85  0.62E-10
2010   8  17  12  39.95  -89.80  0.30E-10
2010   8  17  12  40.00  -89.80  0.30E-10
2010   8  17  12  40.05  -89.80  0.36E-10
2010   8  17  12  40.10  -89.80  0.12E-09
2010   8  17  12  39.95  -89.75  0.21E-10
2010   8  17  12  40.00  -89.75  0.28E-10
2010   8  17  12  40.05  -89.75  0.26E-10
2010   8  17  12  40.10  -89.75  0.11E-09
2010   8  17  12  40.15  -89.75  0.46E-11
2010   8  17  12  39.95  -89.70  0.16E-10
2010   8  17  12  40.00  -89.70  0.23E-10
2010   8  17  12  40.05  -89.70  0.18E-10
2010   8  17  12  40.10  -89.70  0.61E-10
2010   8  17  12  40.15  -89.70  0.57E-10
2010   8  17  12  39.95  -89.65  0.11E-10
2010   8  17  12  40.00  -89.65  0.19E-10
2010   8  17  12  40.05  -89.65  0.19E-10
2010   8  17  12  40.10  -89.65  0.38E-10
2010   8  17  12  40.15  -89.65  0.76E-10
2010   8  17  12  39.95  -89.60  0.62E-11
2010   8  17  12  40.00  -89.60  0.16E-10
2010   8  17  12  40.05  -89.60  0.19E-10
2010   8  17  12  40.10  -89.60  0.28E-10
2010   8  17  12  40.15  -89.60  0.77E-10
2010   8  17  12  39.95  -89.55  0.15E-11
2010   8  17  12  40.00  -89.55  0.13E-10
2010   8  17  12  40.05  -89.55  0.19E-10
2010   8  17  12  40.10  -89.55  0.29E-10
2010   8  17  12  40.15  -89.55  0.69E-10
2010   8  17  12  39.95  -89.50  0.73E-13
2010   8  17  12  40.00  -89.50  0.96E-11
2010   8  17  12  40.05  -89.50  0.19E-10
2010   8  17  12  40.10  -89.50  0.31E-10
2010   8  17  12  40.15  -89.50  0.66E-10
2010   8  17  12  40.00  -89.45  0.51E-11
2010   8  17  12  40.05  -89.45  0.19E-10
2010   8  17  12  40.10  -89.45  0.40E-10
2010   8  17  12  40.15  -89.45  0.47E-10
2010   8  17  12  40.00  -89.40  0.18E-11
2010   8  17  12  40.05  -89.40  0.18E-10
2010   8  17  12  40.10  -89.40  0.69E-10
2010   8  17  12  40.15  -89.40  0.69E-11
2010   8  17  12  40.00  -89.35  0.17E-11
2010   8  17  12  40.05  -89.35  0.22E-10
2010   8  17  12  40.10  -89.35  0.59E-10
2010   8  17  12  40.00  -89.30  0.28E-11
2010   8  17  12  40.05  -89.30  0.39E-10
2010   8  17  12  40.10  -89.30  0.11E-10
2010   8  17  12  40.00  -89.25  0.49E-11
2010   8  17  12  40.05  -89.25  0.25E-11
