YEAR  MO  DA  HR    LAT     LON Rn2200100
2010   6  25  12  39.90  -90.10  0.70E-11
2010   6  25  12  39.95  -90.10  0.20E-10
2010   6  25  12  40.00  -90.10  0.30E-10
2010   6  25  12  39.80  -90.05  0.89E-11
2010   6  25  12  39.85  -90.05  0.18E-10
2010   6  25  12  39.90  -90.05  0.36E-10
2010   6  25  12  39.95  -90.05  0.62E-10
2010   6  25  12  40.00  -90.05  0.93E-10
2010   6  25  12  39.60  -90.00  0.17E-12
2010   6  25  12  39.65  -90.00  0.42E-11
2010   6  25  12  39.70  -90.00  0.10E-10
2010   6  25  12  39.75  -90.00  0.25E-10
2010   6  25  12  39.80  -90.00  0.22E-10
2010   6  25  12  39.85  -90.00  0.42E-10
2010   6  25  12  39.90  -90.00  0.50E-10
2010   6  25  12  39.95  -90.00  0.13E-09
2010   6  25  12  40.00  -90.00  0.18E-09
2010   6  25  12  39.40  -89.95  0.29E-12
2010   6  25  12  39.45  -89.95  0.64E-12
2010   6  25  12  39.50  -89.95  0.42E-11
2010   6  25  12  39.55  -89.95  0.83E-11
2010   6  25  12  39.60  -89.95  0.17E-10
2010   6  25  12  39.65  -89.95  0.26E-10
2010   6  25  12  39.70  -89.95  0.29E-10
2010   6  25  12  39.75  -89.95  0.33E-10
2010   6  25  12  39.80  -89.95  0.43E-10
2010   6  25  12  39.85  -89.95  0.80E-10
2010   6  25  12  39.90  -89.95  0.18E-09
2010   6  25  12  39.95  -89.95  0.13E-09
2010   6  25  12  39.35  -89.90  0.25E-11
2010   6  25  12  39.40  -89.90  0.72E-11
2010   6  25  12  39.45  -89.90  0.18E-10
2010   6  25  12  39.50  -89.90  0.24E-10
2010   6  25  12  39.55  -89.90  0.17E-10
2010   6  25  12  39.60  -89.90  0.28E-10
2010   6  25  12  39.65  -89.90  0.40E-10
2010   6  25  12  39.70  -89.90  0.41E-10
2010   6  25  12  39.75  -89.90  0.86E-10
2010   6  25  12  39.80  -89.90  0.14E-09
2010   6  25  12  39.85  -89.90  0.10E-09
2010   6  25  12  39.90  -89.90  0.86E-12
2010   6  25  12  39.30  -89.85  0.26E-11
2010   6  25  12  39.35  -89.85  0.84E-11
2010   6  25  12  39.40  -89.85  0.14E-10
2010   6  25  12  39.45  -89.85  0.25E-10
2010   6  25  12  39.50  -89.85  0.30E-10
2010   6  25  12  39.55  -89.85  0.27E-10
2010   6  25  12  39.60  -89.85  0.39E-10
2010   6  25  12  39.65  -89.85  0.72E-10
2010   6  25  12  39.70  -89.85  0.90E-10
2010   6  25  12  39.75  -89.85  0.58E-10
2010   6  25  12  39.80  -89.85  0.28E-11
2010   6  25  12  39.30  -89.80  0.19E-11
2010   6  25  12  39.35  -89.80  0.99E-11
2010   6  25  12  39.40  -89.80  0.14E-10
2010   6  25  12  39.45  -89.80  0.24E-10
2010   6  25  12  39.50  -89.80  0.37E-10
2010   6  25  12  39.55  -89.80  0.47E-10
2010   6  25  12  39.60  -89.80  0.48E-10
2010   6  25  12  39.65  -89.80  0.23E-10
2010   6  25  12  39.70  -89.80  0.15E-11
2010   6  25  12  39.30  -89.75  0.29E-12
2010   6  25  12  39.35  -89.75  0.50E-11
2010   6  25  12  39.40  -89.75  0.13E-10
2010   6  25  12  39.45  -89.75  0.16E-10
2010   6  25  12  39.50  -89.75  0.14E-10
2010   6  25  12  39.55  -89.75  0.62E-11
2010   6  25  12  39.60  -89.75  0.97E-13
