YEAR  MO  DA  HR    LAT     LON Rn2200100
2012   2  17  12  40.00  -90.00  0.43E-10
2012   2  17  12  40.00  -89.95  0.10E-09
2012   2  17  12  40.00  -89.90  0.97E-10
2012   2  17  12  40.05  -89.90  0.31E-11
2012   2  17  12  40.00  -89.85  0.87E-10
2012   2  17  12  40.05  -89.85  0.90E-11
2012   2  17  12  40.00  -89.80  0.84E-10
2012   2  17  12  40.05  -89.80  0.13E-10
2012   2  17  12  40.00  -89.75  0.80E-10
2012   2  17  12  40.05  -89.75  0.14E-10
2012   2  17  12  39.95  -89.70  0.71E-11
2012   2  17  12  40.00  -89.70  0.70E-10
2012   2  17  12  40.05  -89.70  0.14E-10
2012   2  17  12  39.95  -89.65  0.14E-10
2012   2  17  12  40.00  -89.65  0.60E-10
2012   2  17  12  40.05  -89.65  0.13E-10
2012   2  17  12  39.95  -89.60  0.20E-10
2012   2  17  12  40.00  -89.60  0.53E-10
2012   2  17  12  40.05  -89.60  0.13E-10
2012   2  17  12  39.95  -89.55  0.21E-10
2012   2  17  12  40.00  -89.55  0.49E-10
2012   2  17  12  40.05  -89.55  0.12E-10
2012   2  17  12  39.95  -89.50  0.24E-10
2012   2  17  12  40.00  -89.50  0.45E-10
2012   2  17  12  40.05  -89.50  0.11E-10
2012   2  17  12  39.95  -89.45  0.27E-10
2012   2  17  12  40.00  -89.45  0.42E-10
2012   2  17  12  40.05  -89.45  0.10E-10
2012   2  17  12  39.95  -89.40  0.29E-10
2012   2  17  12  40.00  -89.40  0.39E-10
2012   2  17  12  40.05  -89.40  0.86E-11
2012   2  17  12  39.95  -89.35  0.29E-10
2012   2  17  12  40.00  -89.35  0.37E-10
2012   2  17  12  40.05  -89.35  0.77E-11
2012   2  17  12  39.95  -89.30  0.30E-10
2012   2  17  12  40.00  -89.30  0.35E-10
2012   2  17  12  40.05  -89.30  0.68E-11
2012   2  17  12  39.95  -89.25  0.31E-10
2012   2  17  12  40.00  -89.25  0.34E-10
2012   2  17  12  40.05  -89.25  0.52E-11
2012   2  17  12  39.95  -89.20  0.31E-10
2012   2  17  12  40.00  -89.20  0.34E-10
2012   2  17  12  40.05  -89.20  0.37E-11
2012   2  17  12  39.95  -89.15  0.32E-10
2012   2  17  12  40.00  -89.15  0.32E-10
2012   2  17  12  40.05  -89.15  0.25E-11
2012   2  17  12  39.95  -89.10  0.31E-10
2012   2  17  12  40.00  -89.10  0.32E-10
2012   2  17  12  40.05  -89.10  0.13E-11
2012   2  17  12  39.95  -89.05  0.31E-10
2012   2  17  12  40.00  -89.05  0.31E-10
2012   2  17  12  40.05  -89.05  0.96E-13
2012   2  17  12  39.95  -89.00  0.31E-10
2012   2  17  12  40.00  -89.00  0.29E-10
2012   2  17  12  39.95  -88.95  0.31E-10
2012   2  17  12  40.00  -88.95  0.29E-10
2012   2  17  12  39.95  -88.90  0.30E-10
2012   2  17  12  40.00  -88.90  0.27E-10
2012   2  17  12  39.95  -88.85  0.29E-10
2012   2  17  12  40.00  -88.85  0.26E-10
2012   2  17  12  39.95  -88.80  0.27E-10
2012   2  17  12  40.00  -88.80  0.26E-10
2012   2  17  12  39.95  -88.75  0.26E-10
2012   2  17  12  40.00  -88.75  0.24E-10
2012   2  17  12  39.95  -88.70  0.25E-10
2012   2  17  12  40.00  -88.70  0.24E-10
2012   2  17  12  39.95  -88.65  0.23E-10
2012   2  17  12  40.00  -88.65  0.22E-10
2012   2  17  12  39.95  -88.60  0.22E-10
2012   2  17  12  40.00  -88.60  0.23E-10
2012   2  17  12  39.95  -88.55  0.20E-10
2012   2  17  12  40.00  -88.55  0.23E-10
2012   2  17  12  39.95  -88.50  0.17E-10
2012   2  17  12  40.00  -88.50  0.22E-10
2012   2  17  12  40.05  -88.50  0.29E-13
2012   2  17  12  39.95  -88.45  0.15E-10
2012   2  17  12  40.00  -88.45  0.22E-10
2012   2  17  12  40.05  -88.45  0.56E-12
2012   2  17  12  39.95  -88.40  0.14E-10
2012   2  17  12  40.00  -88.40  0.21E-10
2012   2  17  12  40.05  -88.40  0.13E-11
2012   2  17  12  39.95  -88.35  0.12E-10
2012   2  17  12  40.00  -88.35  0.20E-10
2012   2  17  12  40.05  -88.35  0.18E-11
2012   2  17  12  39.95  -88.30  0.11E-10
2012   2  17  12  40.00  -88.30  0.18E-10
2012   2  17  12  40.05  -88.30  0.26E-11
2012   2  17  12  39.95  -88.25  0.98E-11
2012   2  17  12  40.00  -88.25  0.17E-10
2012   2  17  12  40.05  -88.25  0.30E-11
2012   2  17  12  39.90  -88.20  0.64E-13
2012   2  17  12  39.95  -88.20  0.81E-11
2012   2  17  12  40.00  -88.20  0.16E-10
2012   2  17  12  40.05  -88.20  0.32E-11
2012   2  17  12  39.90  -88.15  0.96E-13
2012   2  17  12  39.95  -88.15  0.72E-11
2012   2  17  12  40.00  -88.15  0.15E-10
2012   2  17  12  40.05  -88.15  0.38E-11
2012   2  17  12  39.90  -88.10  0.96E-13
2012   2  17  12  39.95  -88.10  0.64E-11
2012   2  17  12  40.00  -88.10  0.14E-10
2012   2  17  12  40.05  -88.10  0.38E-11
2012   2  17  12  39.90  -88.05  0.32E-13
2012   2  17  12  39.95  -88.05  0.60E-11
2012   2  17  12  40.00  -88.05  0.13E-10
2012   2  17  12  40.05  -88.05  0.38E-11
2012   2  17  12  39.95  -88.00  0.53E-11
2012   2  17  12  40.00  -88.00  0.11E-10
2012   2  17  12  40.05  -88.00  0.36E-11
2012   2  17  12  39.95  -87.95  0.44E-11
2012   2  17  12  40.00  -87.95  0.11E-10
2012   2  17  12  40.05  -87.95  0.35E-11
2012   2  17  12  39.95  -87.90  0.35E-11
2012   2  17  12  40.00  -87.90  0.10E-10
2012   2  17  12  40.05  -87.90  0.31E-11
2012   2  17  12  39.95  -87.85  0.24E-11
2012   2  17  12  40.00  -87.85  0.99E-11
2012   2  17  12  40.05  -87.85  0.26E-11
2012   2  17  12  39.95  -87.80  0.19E-11
2012   2  17  12  40.00  -87.80  0.93E-11
2012   2  17  12  40.05  -87.80  0.21E-11
2012   2  17  12  39.95  -87.75  0.15E-11
2012   2  17  12  40.00  -87.75  0.83E-11
2012   2  17  12  40.05  -87.75  0.18E-11
2012   2  17  12  39.95  -87.70  0.86E-12
2012   2  17  12  40.00  -87.70  0.76E-11
2012   2  17  12  40.05  -87.70  0.12E-11
2012   2  17  12  39.95  -87.65  0.80E-12
2012   2  17  12  40.00  -87.65  0.65E-11
2012   2  17  12  40.05  -87.65  0.79E-12
2012   2  17  12  39.95  -87.60  0.53E-12
2012   2  17  12  40.00  -87.60  0.56E-11
2012   2  17  12  40.05  -87.60  0.23E-12
2012   2  17  12  39.95  -87.55  0.56E-12
2012   2  17  12  40.00  -87.55  0.44E-11
2012   2  17  12  39.95  -87.50  0.23E-12
2012   2  17  12  40.00  -87.50  0.30E-11
2012   2  17  12  39.95  -87.45  0.88E-13
2012   2  17  12  40.00  -87.45  0.15E-11
2012   2  17  12  39.95  -87.40  0.29E-13
2012   2  17  12  40.00  -87.40  0.41E-12
