YEAR  MO  DA  HR    LAT     LON Rn2200100
2010   7  12  12  39.95  -90.00  0.22E-09
2010   7  12  12  40.00  -90.00  0.60E-09
2010   7  12  12  40.05  -90.00  0.44E-09
2010   7  12  12  40.10  -90.00  0.12E-09
2010   7  12  12  40.15  -90.00  0.52E-11
2010   7  12  12  39.95  -89.95  0.18E-10
2010   7  12  12  40.00  -89.95  0.38E-10
2010   7  12  12  40.05  -89.95  0.16E-09
2010   7  12  12  40.10  -89.95  0.24E-09
2010   7  12  12  40.15  -89.95  0.13E-09
2010   7  12  12  40.20  -89.95  0.17E-10
2010   7  12  12  39.95  -89.90  0.36E-11
2010   7  12  12  40.00  -89.90  0.12E-10
2010   7  12  12  40.05  -89.90  0.16E-10
2010   7  12  12  40.10  -89.90  0.49E-10
2010   7  12  12  40.15  -89.90  0.11E-09
2010   7  12  12  40.20  -89.90  0.79E-10
2010   7  12  12  40.25  -89.90  0.10E-11
2010   7  12  12  39.95  -89.85  0.13E-11
2010   7  12  12  40.00  -89.85  0.43E-11
2010   7  12  12  40.05  -89.85  0.89E-11
2010   7  12  12  40.10  -89.85  0.13E-10
2010   7  12  12  40.15  -89.85  0.42E-10
2010   7  12  12  40.20  -89.85  0.54E-10
2010   7  12  12  40.25  -89.85  0.50E-11
2010   7  12  12  39.95  -89.80  0.17E-12
2010   7  12  12  40.00  -89.80  0.18E-11
2010   7  12  12  40.05  -89.80  0.28E-11
2010   7  12  12  40.10  -89.80  0.79E-11
2010   7  12  12  40.15  -89.80  0.19E-10
2010   7  12  12  40.20  -89.80  0.25E-10
2010   7  12  12  40.25  -89.80  0.31E-11
2010   7  12  12  40.05  -89.75  0.12E-11
2010   7  12  12  40.10  -89.75  0.46E-11
2010   7  12  12  40.15  -89.75  0.74E-11
2010   7  12  12  40.20  -89.75  0.94E-11
2010   7  12  12  40.25  -89.75  0.19E-11
2010   7  12  12  40.05  -89.70  0.50E-12
2010   7  12  12  40.10  -89.70  0.13E-11
2010   7  12  12  40.15  -89.70  0.57E-11
2010   7  12  12  40.20  -89.70  0.43E-11
2010   7  12  12  40.25  -89.70  0.13E-11
2010   7  12  12  40.05  -89.65  0.17E-12
2010   7  12  12  40.10  -89.65  0.48E-12
2010   7  12  12  40.15  -89.65  0.25E-11
2010   7  12  12  40.20  -89.65  0.19E-11
2010   7  12  12  40.25  -89.65  0.59E-12
2010   7  12  12  40.10  -89.60  0.17E-12
2010   7  12  12  40.15  -89.60  0.46E-12
2010   7  12  12  40.20  -89.60  0.61E-12
2010   7  12  12  40.25  -89.60  0.15E-12
2010   7  12  12  40.15  -89.55  0.15E-12
2010   7  12  12  40.20  -89.55  0.15E-12
2010   7  12  12  40.15  -89.50  0.15E-12
2010   7  12  12  40.20  -89.50  0.15E-12
