YEAR  MO  DA  HR    LAT     LON Rn2200100
2017   4  12  12  39.90  -90.30  0.17E-12
2017   4  12  12  39.95  -90.30  0.10E-11
2017   4  12  12  40.00  -90.30  0.50E-12
2017   4  12  12  39.90  -90.25  0.37E-11
2017   4  12  12  39.95  -90.25  0.27E-10
2017   4  12  12  40.00  -90.25  0.18E-11
2017   4  12  12  39.85  -90.20  0.20E-11
2017   4  12  12  39.90  -90.20  0.12E-10
2017   4  12  12  39.95  -90.20  0.81E-10
2017   4  12  12  40.00  -90.20  0.48E-11
2017   4  12  12  39.80  -90.15  0.32E-12
2017   4  12  12  39.85  -90.15  0.68E-11
2017   4  12  12  39.90  -90.15  0.18E-10
2017   4  12  12  39.95  -90.15  0.13E-09
2017   4  12  12  40.00  -90.15  0.16E-10
2017   4  12  12  39.80  -90.10  0.20E-11
2017   4  12  12  39.85  -90.10  0.92E-11
2017   4  12  12  39.90  -90.10  0.21E-10
2017   4  12  12  39.95  -90.10  0.14E-09
2017   4  12  12  40.00  -90.10  0.10E-09
2017   4  12  12  39.75  -90.05  0.29E-12
2017   4  12  12  39.80  -90.05  0.37E-11
2017   4  12  12  39.85  -90.05  0.10E-10
2017   4  12  12  39.90  -90.05  0.18E-10
2017   4  12  12  39.95  -90.05  0.77E-10
2017   4  12  12  40.00  -90.05  0.26E-09
2017   4  12  12  39.75  -90.00  0.88E-12
2017   4  12  12  39.80  -90.00  0.51E-11
2017   4  12  12  39.85  -90.00  0.86E-11
2017   4  12  12  39.90  -90.00  0.15E-10
2017   4  12  12  39.95  -90.00  0.62E-10
2017   4  12  12  40.00  -90.00  0.25E-09
2017   4  12  12  39.75  -89.95  0.10E-11
2017   4  12  12  39.80  -89.95  0.39E-11
2017   4  12  12  39.85  -89.95  0.69E-11
2017   4  12  12  39.90  -89.95  0.20E-10
2017   4  12  12  39.95  -89.95  0.66E-10
2017   4  12  12  40.00  -89.95  0.82E-10
2017   4  12  12  39.80  -89.90  0.18E-11
2017   4  12  12  39.85  -89.90  0.89E-11
2017   4  12  12  39.90  -89.90  0.25E-10
2017   4  12  12  39.95  -89.90  0.72E-10
2017   4  12  12  40.00  -89.90  0.17E-10
2017   4  12  12  39.85  -89.85  0.67E-11
2017   4  12  12  39.90  -89.85  0.27E-10
2017   4  12  12  39.95  -89.85  0.59E-10
2017   4  12  12  39.85  -89.80  0.45E-11
2017   4  12  12  39.90  -89.80  0.27E-10
2017   4  12  12  39.95  -89.80  0.24E-10
2017   4  12  12  39.90  -89.75  0.11E-10
2017   4  12  12  39.95  -89.75  0.23E-11
