YEAR  MO  DA  HR    LAT     LON Rn2200100
2022   7  12  12  38.35 -109.50  0.20E-12
2022   7  12  12  38.40 -109.50  0.49E-11
2022   7  12  12  38.45 -109.50  0.14E-10
2022   7  12  12  38.30 -109.45  0.22E-11
2022   7  12  12  38.35 -109.45  0.16E-10
2022   7  12  12  38.40 -109.45  0.41E-10
2022   7  12  12  38.45 -109.45  0.24E-10
2022   7  12  12  38.20 -109.40  0.48E-12
2022   7  12  12  38.25 -109.40  0.51E-11
2022   7  12  12  38.30 -109.40  0.31E-10
2022   7  12  12  38.35 -109.40  0.49E-10
2022   7  12  12  38.40 -109.40  0.44E-10
2022   7  12  12  38.45 -109.40  0.11E-10
2022   7  12  12  38.15 -109.35  0.88E-12
2022   7  12  12  38.20 -109.35  0.11E-10
2022   7  12  12  38.25 -109.35  0.58E-10
2022   7  12  12  38.30 -109.35  0.59E-10
2022   7  12  12  38.35 -109.35  0.47E-10
2022   7  12  12  38.40 -109.35  0.28E-10
2022   7  12  12  38.10 -109.30  0.19E-11
2022   7  12  12  38.15 -109.30  0.19E-10
2022   7  12  12  38.20 -109.30  0.68E-10
2022   7  12  12  38.25 -109.30  0.55E-10
2022   7  12  12  38.30 -109.30  0.63E-10
2022   7  12  12  38.35 -109.30  0.33E-10
2022   7  12  12  38.05 -109.25  0.25E-11
2022   7  12  12  38.10 -109.25  0.24E-10
2022   7  12  12  38.15 -109.25  0.89E-10
2022   7  12  12  38.20 -109.25  0.89E-10
2022   7  12  12  38.25 -109.25  0.70E-10
2022   7  12  12  38.30 -109.25  0.34E-10
2022   7  12  12  38.35 -109.25  0.87E-13
2022   7  12  12  38.00 -109.20  0.21E-11
2022   7  12  12  38.05 -109.20  0.19E-10
2022   7  12  12  38.10 -109.20  0.84E-10
2022   7  12  12  38.15 -109.20  0.13E-09
2022   7  12  12  38.20 -109.20  0.11E-09
2022   7  12  12  38.25 -109.20  0.35E-10
2022   7  12  12  38.30 -109.20  0.18E-12
2022   7  12  12  37.95 -109.15  0.68E-12
2022   7  12  12  38.00 -109.15  0.17E-10
2022   7  12  12  38.05 -109.15  0.63E-10
2022   7  12  12  38.10 -109.15  0.13E-09
2022   7  12  12  38.15 -109.15  0.19E-09
2022   7  12  12  38.20 -109.15  0.36E-10
2022   7  12  12  38.25 -109.15  0.88E-13
2022   7  12  12  37.95 -109.10  0.40E-11
2022   7  12  12  38.00 -109.10  0.43E-10
2022   7  12  12  38.05 -109.10  0.11E-09
2022   7  12  12  38.10 -109.10  0.88E-10
2022   7  12  12  38.15 -109.10  0.94E-12
2022   7  12  12  37.95 -109.05  0.70E-11
2022   7  12  12  38.00 -109.05  0.46E-10
2022   7  12  12  38.05 -109.05  0.32E-10
2022   7  12  12  38.10 -109.05  0.23E-12
2022   7  12  12  37.95 -109.00  0.25E-11
2022   7  12  12  38.00 -109.00  0.40E-11
2022   7  12  12  38.05 -109.00  0.41E-12
2022   7  12  12  38.00 -108.95  0.28E-12
2022   7  13   0  38.50 -109.60  0.37E-12
2022   7  13   0  38.55 -109.60  0.24E-11
2022   7  13   0  38.60 -109.60  0.11E-10
2022   7  13   0  38.65 -109.60  0.22E-10
2022   7  13   0  38.70 -109.60  0.15E-10
2022   7  13   0  38.75 -109.60  0.14E-11
2022   7  13   0  38.40 -109.55  0.23E-12
2022   7  13   0  38.45 -109.55  0.24E-11
2022   7  13   0  38.50 -109.55  0.17E-10
2022   7  13   0  38.55 -109.55  0.49E-10
2022   7  13   0  38.60 -109.55  0.69E-10
2022   7  13   0  38.65 -109.55  0.69E-10
2022   7  13   0  38.70 -109.55  0.69E-10
2022   7  13   0  38.75 -109.55  0.37E-10
2022   7  13   0  38.80 -109.55  0.40E-12
2022   7  13   0  38.35 -109.50  0.36E-12
2022   7  13   0  38.40 -109.50  0.44E-11
2022   7  13   0  38.45 -109.50  0.26E-10
2022   7  13   0  38.50 -109.50  0.58E-10
2022   7  13   0  38.55 -109.50  0.55E-10
2022   7  13   0  38.60 -109.50  0.45E-10
2022   7  13   0  38.65 -109.50  0.39E-10
2022   7  13   0  38.70 -109.50  0.51E-10
2022   7  13   0  38.75 -109.50  0.69E-10
2022   7  13   0  38.80 -109.50  0.88E-11
2022   7  13   0  38.30 -109.45  0.13E-12
2022   7  13   0  38.35 -109.45  0.24E-11
2022   7  13   0  38.40 -109.45  0.12E-10
2022   7  13   0  38.45 -109.45  0.24E-10
2022   7  13   0  38.50 -109.45  0.46E-10
2022   7  13   0  38.55 -109.45  0.37E-10
2022   7  13   0  38.60 -109.45  0.35E-10
2022   7  13   0  38.65 -109.45  0.34E-10
2022   7  13   0  38.70 -109.45  0.34E-10
2022   7  13   0  38.75 -109.45  0.54E-10
2022   7  13   0  38.80 -109.45  0.28E-10
2022   7  13   0  38.30 -109.40  0.46E-12
2022   7  13   0  38.35 -109.40  0.51E-11
2022   7  13   0  38.40 -109.40  0.86E-11
2022   7  13   0  38.45 -109.40  0.25E-10
2022   7  13   0  38.50 -109.40  0.25E-10
2022   7  13   0  38.55 -109.40  0.22E-10
2022   7  13   0  38.60 -109.40  0.24E-10
2022   7  13   0  38.65 -109.40  0.27E-10
2022   7  13   0  38.70 -109.40  0.32E-10
2022   7  13   0  38.75 -109.40  0.46E-10
2022   7  13   0  38.80 -109.40  0.38E-10
2022   7  13   0  38.30 -109.35  0.33E-12
2022   7  13   0  38.35 -109.35  0.15E-11
2022   7  13   0  38.40 -109.35  0.17E-10
2022   7  13   0  38.45 -109.35  0.24E-10
2022   7  13   0  38.50 -109.35  0.14E-10
2022   7  13   0  38.55 -109.35  0.15E-10
2022   7  13   0  38.60 -109.35  0.11E-10
2022   7  13   0  38.65 -109.35  0.24E-10
2022   7  13   0  38.70 -109.35  0.28E-10
2022   7  13   0  38.75 -109.35  0.39E-10
2022   7  13   0  38.80 -109.35  0.37E-10
2022   7  13   0  38.85 -109.35  0.15E-12
2022   7  13   0  38.30 -109.30  0.20E-12
2022   7  13   0  38.35 -109.30  0.12E-10
2022   7  13   0  38.40 -109.30  0.21E-10
2022   7  13   0  38.45 -109.30  0.13E-10
2022   7  13   0  38.50 -109.30  0.12E-10
2022   7  13   0  38.55 -109.30  0.10E-10
2022   7  13   0  38.60 -109.30  0.13E-10
2022   7  13   0  38.65 -109.30  0.18E-10
2022   7  13   0  38.70 -109.30  0.26E-10
2022   7  13   0  38.75 -109.30  0.34E-10
2022   7  13   0  38.80 -109.30  0.37E-10
2022   7  13   0  38.85 -109.30  0.13E-12
2022   7  13   0  38.30 -109.25  0.17E-10
2022   7  13   0  38.35 -109.25  0.20E-10
2022   7  13   0  38.40 -109.25  0.14E-10
2022   7  13   0  38.45 -109.25  0.93E-11
2022   7  13   0  38.50 -109.25  0.79E-11
2022   7  13   0  38.55 -109.25  0.82E-11
2022   7  13   0  38.60 -109.25  0.91E-11
2022   7  13   0  38.65 -109.25  0.16E-10
2022   7  13   0  38.70 -109.25  0.26E-10
2022   7  13   0  38.75 -109.25  0.37E-10
2022   7  13   0  38.80 -109.25  0.36E-10
2022   7  13   0  38.85 -109.25  0.18E-12
2022   7  13   0  38.20 -109.20  0.51E-11
2022   7  13   0  38.25 -109.20  0.23E-10
2022   7  13   0  38.30 -109.20  0.16E-10
2022   7  13   0  38.35 -109.20  0.12E-10
2022   7  13   0  38.40 -109.20  0.79E-11
2022   7  13   0  38.45 -109.20  0.83E-11
2022   7  13   0  38.50 -109.20  0.79E-11
2022   7  13   0  38.55 -109.20  0.70E-11
2022   7  13   0  38.60 -109.20  0.73E-11
2022   7  13   0  38.65 -109.20  0.16E-10
2022   7  13   0  38.70 -109.20  0.24E-10
2022   7  13   0  38.75 -109.20  0.42E-10
2022   7  13   0  38.80 -109.20  0.31E-10
2022   7  13   0  38.85 -109.20  0.30E-12
2022   7  13   0  38.15 -109.15  0.26E-10
2022   7  13   0  38.20 -109.15  0.41E-10
2022   7  13   0  38.25 -109.15  0.21E-10
2022   7  13   0  38.30 -109.15  0.13E-10
2022   7  13   0  38.35 -109.15  0.10E-10
2022   7  13   0  38.40 -109.15  0.73E-11
2022   7  13   0  38.45 -109.15  0.64E-11
2022   7  13   0  38.50 -109.15  0.72E-11
2022   7  13   0  38.55 -109.15  0.72E-11
2022   7  13   0  38.60 -109.15  0.73E-11
2022   7  13   0  38.65 -109.15  0.16E-10
2022   7  13   0  38.70 -109.15  0.24E-10
2022   7  13   0  38.75 -109.15  0.46E-10
2022   7  13   0  38.80 -109.15  0.28E-10
2022   7  13   0  38.85 -109.15  0.30E-12
2022   7  13   0  38.10 -109.10  0.21E-10
2022   7  13   0  38.15 -109.10  0.12E-09
2022   7  13   0  38.20 -109.10  0.35E-10
2022   7  13   0  38.25 -109.10  0.16E-10
2022   7  13   0  38.30 -109.10  0.12E-10
2022   7  13   0  38.35 -109.10  0.84E-11
2022   7  13   0  38.40 -109.10  0.84E-11
2022   7  13   0  38.45 -109.10  0.65E-11
2022   7  13   0  38.50 -109.10  0.63E-11
2022   7  13   0  38.55 -109.10  0.60E-11
2022   7  13   0  38.60 -109.10  0.68E-11
2022   7  13   0  38.65 -109.10  0.17E-10
2022   7  13   0  38.70 -109.10  0.28E-10
2022   7  13   0  38.75 -109.10  0.55E-10
2022   7  13   0  38.80 -109.10  0.21E-10
2022   7  13   0  38.85 -109.10  0.12E-12
2022   7  13   0  38.05 -109.05  0.63E-12
2022   7  13   0  38.10 -109.05  0.35E-10
2022   7  13   0  38.15 -109.05  0.56E-10
2022   7  13   0  38.20 -109.05  0.24E-10
2022   7  13   0  38.25 -109.05  0.16E-10
2022   7  13   0  38.30 -109.05  0.10E-10
2022   7  13   0  38.35 -109.05  0.90E-11
2022   7  13   0  38.40 -109.05  0.63E-11
2022   7  13   0  38.45 -109.05  0.70E-11
2022   7  13   0  38.50 -109.05  0.51E-11
2022   7  13   0  38.55 -109.05  0.55E-11
2022   7  13   0  38.60 -109.05  0.74E-11
2022   7  13   0  38.65 -109.05  0.18E-10
2022   7  13   0  38.70 -109.05  0.35E-10
2022   7  13   0  38.75 -109.05  0.60E-10
2022   7  13   0  38.80 -109.05  0.11E-10
2022   7  13   0  38.85 -109.05  0.12E-12
2022   7  13   0  38.05 -109.00  0.55E-11
2022   7  13   0  38.10 -109.00  0.32E-10
2022   7  13   0  38.15 -109.00  0.45E-10
2022   7  13   0  38.20 -109.00  0.20E-10
2022   7  13   0  38.25 -109.00  0.16E-10
2022   7  13   0  38.30 -109.00  0.12E-10
2022   7  13   0  38.35 -109.00  0.95E-11
2022   7  13   0  38.40 -109.00  0.71E-11
2022   7  13   0  38.45 -109.00  0.61E-11
2022   7  13   0  38.50 -109.00  0.51E-11
2022   7  13   0  38.55 -109.00  0.57E-11
2022   7  13   0  38.60 -109.00  0.80E-11
2022   7  13   0  38.65 -109.00  0.23E-10
2022   7  13   0  38.70 -109.00  0.47E-10
2022   7  13   0  38.75 -109.00  0.58E-10
