YEAR  MO  DA  HR    LAT     LON Rn2200100
2014  11  27  12  39.80  -90.35  0.73E-13
2014  11  27  12  39.85  -90.35  0.29E-12
2014  11  27  12  39.90  -90.35  0.37E-12
2014  11  27  12  39.95  -90.35  0.98E-13
2014  11  27  12  39.60  -90.30  0.29E-13
2014  11  27  12  39.65  -90.30  0.58E-13
2014  11  27  12  39.70  -90.30  0.41E-12
2014  11  27  12  39.75  -90.30  0.67E-12
2014  11  27  12  39.80  -90.30  0.21E-11
2014  11  27  12  39.85  -90.30  0.26E-11
2014  11  27  12  39.90  -90.30  0.31E-11
2014  11  27  12  39.95  -90.30  0.28E-11
2014  11  27  12  40.00  -90.30  0.62E-12
2014  11  27  12  39.50  -90.25  0.29E-13
2014  11  27  12  39.55  -90.25  0.87E-13
2014  11  27  12  39.60  -90.25  0.26E-12
2014  11  27  12  39.65  -90.25  0.11E-11
2014  11  27  12  39.70  -90.25  0.27E-11
2014  11  27  12  39.75  -90.25  0.37E-11
2014  11  27  12  39.80  -90.25  0.48E-11
2014  11  27  12  39.85  -90.25  0.44E-11
2014  11  27  12  39.90  -90.25  0.59E-11
2014  11  27  12  39.95  -90.25  0.51E-11
2014  11  27  12  40.00  -90.25  0.34E-11
2014  11  27  12  40.05  -90.25  0.15E-12
2014  11  27  12  39.45  -90.20  0.12E-12
2014  11  27  12  39.50  -90.20  0.17E-12
2014  11  27  12  39.55  -90.20  0.52E-12
2014  11  27  12  39.60  -90.20  0.24E-11
2014  11  27  12  39.65  -90.20  0.37E-11
2014  11  27  12  39.70  -90.20  0.43E-11
2014  11  27  12  39.75  -90.20  0.40E-11
2014  11  27  12  39.80  -90.20  0.47E-11
2014  11  27  12  39.85  -90.20  0.56E-11
2014  11  27  12  39.90  -90.20  0.65E-11
2014  11  27  12  39.95  -90.20  0.85E-11
2014  11  27  12  40.00  -90.20  0.67E-11
2014  11  27  12  40.05  -90.20  0.43E-12
2014  11  27  12  39.35  -90.15  0.12E-12
2014  11  27  12  39.40  -90.15  0.12E-12
2014  11  27  12  39.45  -90.15  0.35E-12
2014  11  27  12  39.50  -90.15  0.15E-11
2014  11  27  12  39.55  -90.15  0.25E-11
2014  11  27  12  39.60  -90.15  0.32E-11
2014  11  27  12  39.65  -90.15  0.32E-11
2014  11  27  12  39.70  -90.15  0.39E-11
2014  11  27  12  39.75  -90.15  0.47E-11
2014  11  27  12  39.80  -90.15  0.45E-11
2014  11  27  12  39.85  -90.15  0.52E-11
2014  11  27  12  39.90  -90.15  0.59E-11
2014  11  27  12  39.95  -90.15  0.75E-11
2014  11  27  12  40.00  -90.15  0.12E-10
2014  11  27  12  40.05  -90.15  0.28E-12
2014  11  27  12  39.25  -90.10  0.58E-13
2014  11  27  12  39.30  -90.10  0.87E-13
2014  11  27  12  39.35  -90.10  0.20E-12
2014  11  27  12  39.40  -90.10  0.79E-12
2014  11  27  12  39.45  -90.10  0.18E-11
2014  11  27  12  39.50  -90.10  0.29E-11
2014  11  27  12  39.55  -90.10  0.22E-11
2014  11  27  12  39.60  -90.10  0.35E-11
2014  11  27  12  39.65  -90.10  0.44E-11
2014  11  27  12  39.70  -90.10  0.37E-11
2014  11  27  12  39.75  -90.10  0.43E-11
2014  11  27  12  39.80  -90.10  0.51E-11
2014  11  27  12  39.85  -90.10  0.69E-11
2014  11  27  12  39.90  -90.10  0.88E-11
2014  11  27  12  39.95  -90.10  0.10E-10
2014  11  27  12  40.00  -90.10  0.17E-10
2014  11  27  12  39.20  -90.05  0.29E-13
2014  11  27  12  39.25  -90.05  0.15E-12
2014  11  27  12  39.30  -90.05  0.29E-12
2014  11  27  12  39.35  -90.05  0.11E-11
2014  11  27  12  39.40  -90.05  0.26E-11
2014  11  27  12  39.45  -90.05  0.24E-11
2014  11  27  12  39.50  -90.05  0.29E-11
2014  11  27  12  39.55  -90.05  0.33E-11
2014  11  27  12  39.60  -90.05  0.31E-11
2014  11  27  12  39.65  -90.05  0.36E-11
2014  11  27  12  39.70  -90.05  0.44E-11
2014  11  27  12  39.75  -90.05  0.43E-11
2014  11  27  12  39.80  -90.05  0.57E-11
2014  11  27  12  39.85  -90.05  0.75E-11
2014  11  27  12  39.90  -90.05  0.89E-11
2014  11  27  12  39.95  -90.05  0.13E-10
2014  11  27  12  40.00  -90.05  0.30E-10
2014  11  27  12  39.10  -90.00  0.58E-13
2014  11  27  12  39.20  -90.00  0.20E-12
2014  11  27  12  39.25  -90.00  0.41E-12
2014  11  27  12  39.30  -90.00  0.17E-11
2014  11  27  12  39.35  -90.00  0.27E-11
2014  11  27  12  39.40  -90.00  0.22E-11
2014  11  27  12  39.45  -90.00  0.29E-11
2014  11  27  12  39.50  -90.00  0.30E-11
2014  11  27  12  39.55  -90.00  0.26E-11
2014  11  27  12  39.60  -90.00  0.35E-11
2014  11  27  12  39.65  -90.00  0.43E-11
2014  11  27  12  39.70  -90.00  0.60E-11
2014  11  27  12  39.75  -90.00  0.65E-11
2014  11  27  12  39.80  -90.00  0.74E-11
2014  11  27  12  39.85  -90.00  0.98E-11
2014  11  27  12  39.90  -90.00  0.11E-10
2014  11  27  12  39.95  -90.00  0.25E-10
2014  11  27  12  40.00  -90.00  0.48E-10
2014  11  27  12  39.05  -89.95  0.29E-13
2014  11  27  12  39.10  -89.95  0.58E-13
2014  11  27  12  39.15  -89.95  0.32E-12
2014  11  27  12  39.20  -89.95  0.78E-12
2014  11  27  12  39.25  -89.95  0.21E-11
2014  11  27  12  39.30  -89.95  0.26E-11
2014  11  27  12  39.35  -89.95  0.21E-11
2014  11  27  12  39.40  -89.95  0.32E-11
2014  11  27  12  39.45  -89.95  0.28E-11
2014  11  27  12  39.50  -89.95  0.24E-11
2014  11  27  12  39.55  -89.95  0.29E-11
2014  11  27  12  39.60  -89.95  0.45E-11
2014  11  27  12  39.65  -89.95  0.46E-11
2014  11  27  12  39.70  -89.95  0.54E-11
2014  11  27  12  39.75  -89.95  0.70E-11
2014  11  27  12  39.80  -89.95  0.97E-11
2014  11  27  12  39.85  -89.95  0.12E-10
2014  11  27  12  39.90  -89.95  0.20E-10
2014  11  27  12  39.95  -89.95  0.39E-10
2014  11  27  12  40.00  -89.95  0.41E-11
2014  11  27  12  39.00  -89.90  0.58E-13
2014  11  27  12  39.05  -89.90  0.17E-12
2014  11  27  12  39.10  -89.90  0.32E-12
2014  11  27  12  39.15  -89.90  0.12E-11
2014  11  27  12  39.20  -89.90  0.23E-11
2014  11  27  12  39.25  -89.90  0.23E-11
2014  11  27  12  39.30  -89.90  0.26E-11
2014  11  27  12  39.35  -89.90  0.31E-11
2014  11  27  12  39.40  -89.90  0.26E-11
2014  11  27  12  39.45  -89.90  0.27E-11
2014  11  27  12  39.50  -89.90  0.34E-11
2014  11  27  12  39.55  -89.90  0.43E-11
2014  11  27  12  39.60  -89.90  0.49E-11
2014  11  27  12  39.65  -89.90  0.47E-11
2014  11  27  12  39.70  -89.90  0.66E-11
2014  11  27  12  39.75  -89.90  0.76E-11
2014  11  27  12  39.80  -89.90  0.11E-10
2014  11  27  12  39.85  -89.90  0.15E-10
2014  11  27  12  39.90  -89.90  0.21E-10
2014  11  27  12  39.95  -89.90  0.13E-10
2014  11  27  12  40.00  -89.90  0.32E-13
2014  11  27  12  38.90  -89.85  0.29E-13
2014  11  27  12  38.95  -89.85  0.87E-13
2014  11  27  12  39.00  -89.85  0.20E-12
2014  11  27  12  39.05  -89.85  0.43E-12
2014  11  27  12  39.10  -89.85  0.12E-11
2014  11  27  12  39.15  -89.85  0.23E-11
2014  11  27  12  39.20  -89.85  0.19E-11
2014  11  27  12  39.25  -89.85  0.26E-11
2014  11  27  12  39.30  -89.85  0.32E-11
2014  11  27  12  39.35  -89.85  0.27E-11
2014  11  27  12  39.40  -89.85  0.32E-11
2014  11  27  12  39.45  -89.85  0.37E-11
2014  11  27  12  39.50  -89.85  0.38E-11
2014  11  27  12  39.55  -89.85  0.45E-11
2014  11  27  12  39.60  -89.85  0.51E-11
2014  11  27  12  39.65  -89.85  0.60E-11
2014  11  27  12  39.70  -89.85  0.70E-11
2014  11  27  12  39.75  -89.85  0.96E-11
2014  11  27  12  39.80  -89.85  0.11E-10
2014  11  27  12  39.85  -89.85  0.14E-10
2014  11  27  12  39.90  -89.85  0.13E-10
2014  11  27  12  39.95  -89.85  0.17E-11
2014  11  27  12  38.85  -89.80  0.58E-13
2014  11  27  12  38.90  -89.80  0.87E-13
2014  11  27  12  38.95  -89.80  0.23E-12
2014  11  27  12  39.00  -89.80  0.46E-12
2014  11  27  12  39.05  -89.80  0.14E-11
2014  11  27  12  39.10  -89.80  0.22E-11
2014  11  27  12  39.15  -89.80  0.23E-11
2014  11  27  12  39.20  -89.80  0.30E-11
2014  11  27  12  39.25  -89.80  0.27E-11
2014  11  27  12  39.30  -89.80  0.28E-11
2014  11  27  12  39.35  -89.80  0.35E-11
2014  11  27  12  39.40  -89.80  0.40E-11
2014  11  27  12  39.45  -89.80  0.40E-11
2014  11  27  12  39.50  -89.80  0.47E-11
2014  11  27  12  39.55  -89.80  0.56E-11
2014  11  27  12  39.60  -89.80  0.58E-11
2014  11  27  12  39.65  -89.80  0.64E-11
2014  11  27  12  39.70  -89.80  0.88E-11
2014  11  27  12  39.75  -89.80  0.88E-11
2014  11  27  12  39.80  -89.80  0.11E-10
2014  11  27  12  39.85  -89.80  0.12E-10
2014  11  27  12  39.90  -89.80  0.46E-11
2014  11  27  12  39.95  -89.80  0.13E-12
2014  11  27  12  38.80  -89.75  0.12E-12
2014  11  27  12  38.85  -89.75  0.58E-13
2014  11  27  12  38.90  -89.75  0.26E-12
2014  11  27  12  38.95  -89.75  0.61E-12
2014  11  27  12  39.00  -89.75  0.19E-11
2014  11  27  12  39.05  -89.75  0.21E-11
2014  11  27  12  39.10  -89.75  0.24E-11
2014  11  27  12  39.15  -89.75  0.29E-11
2014  11  27  12  39.20  -89.75  0.27E-11
2014  11  27  12  39.25  -89.75  0.31E-11
2014  11  27  12  39.30  -89.75  0.38E-11
2014  11  27  12  39.35  -89.75  0.39E-11
2014  11  27  12  39.40  -89.75  0.35E-11
2014  11  27  12  39.45  -89.75  0.49E-11
2014  11  27  12  39.50  -89.75  0.48E-11
2014  11  27  12  39.55  -89.75  0.49E-11
2014  11  27  12  39.60  -89.75  0.65E-11
2014  11  27  12  39.65  -89.75  0.76E-11
2014  11  27  12  39.70  -89.75  0.69E-11
2014  11  27  12  39.75  -89.75  0.83E-11
2014  11  27  12  39.80  -89.75  0.88E-11
2014  11  27  12  39.85  -89.75  0.63E-11
2014  11  27  12  39.90  -89.75  0.10E-11
2014  11  27  12  38.75  -89.70  0.29E-13
2014  11  27  12  38.80  -89.70  0.12E-12
2014  11  27  12  38.85  -89.70  0.20E-12
2014  11  27  12  38.90  -89.70  0.70E-12
2014  11  27  12  38.95  -89.70  0.17E-11
2014  11  27  12  39.00  -89.70  0.22E-11
2014  11  27  12  39.05  -89.70  0.22E-11
2014  11  27  12  39.10  -89.70  0.31E-11
2014  11  27  12  39.15  -89.70  0.31E-11
2014  11  27  12  39.20  -89.70  0.31E-11
2014  11  27  12  39.25  -89.70  0.32E-11
2014  11  27  12  39.30  -89.70  0.33E-11
2014  11  27  12  39.35  -89.70  0.40E-11
2014  11  27  12  39.40  -89.70  0.44E-11
