YEAR  MO  DA  HR    LAT     LON Rn2200100
2017   2   7  12  40.00  -90.00  0.33E-10
2017   2   7  12  40.05  -90.00  0.54E-10
2017   2   7  12  40.10  -90.00  0.14E-10
2017   2   7  12  40.15  -90.00  0.41E-11
2017   2   7  12  40.20  -90.00  0.68E-12
2017   2   7  12  40.25  -90.00  0.88E-13
2017   2   7  12  40.30  -90.00  0.12E-12
2017   2   7  12  40.05  -89.95  0.47E-10
2017   2   7  12  40.10  -89.95  0.57E-10
2017   2   7  12  40.15  -89.95  0.32E-10
2017   2   7  12  40.20  -89.95  0.17E-10
2017   2   7  12  40.25  -89.95  0.84E-11
2017   2   7  12  40.30  -89.95  0.36E-11
2017   2   7  12  40.35  -89.95  0.10E-11
2017   2   7  12  40.40  -89.95  0.29E-12
2017   2   7  12  40.45  -89.95  0.89E-13
2017   2   7  12  40.10  -89.90  0.25E-10
2017   2   7  12  40.15  -89.90  0.34E-10
2017   2   7  12  40.20  -89.90  0.27E-10
2017   2   7  12  40.25  -89.90  0.17E-10
2017   2   7  12  40.30  -89.90  0.11E-10
2017   2   7  12  40.35  -89.90  0.73E-11
2017   2   7  12  40.40  -89.90  0.47E-11
2017   2   7  12  40.45  -89.90  0.21E-11
2017   2   7  12  40.50  -89.90  0.74E-12
2017   2   7  12  40.55  -89.90  0.15E-12
2017   2   7  12  40.15  -89.85  0.17E-10
2017   2   7  12  40.20  -89.85  0.25E-10
2017   2   7  12  40.25  -89.85  0.19E-10
2017   2   7  12  40.30  -89.85  0.14E-10
2017   2   7  12  40.35  -89.85  0.94E-11
2017   2   7  12  40.40  -89.85  0.79E-11
2017   2   7  12  40.45  -89.85  0.57E-11
2017   2   7  12  40.50  -89.85  0.42E-11
2017   2   7  12  40.55  -89.85  0.24E-11
2017   2   7  12  40.60  -89.85  0.12E-11
2017   2   7  12  40.65  -89.85  0.50E-12
2017   2   7  12  40.15  -89.80  0.32E-13
2017   2   7  12  40.20  -89.80  0.12E-10
2017   2   7  12  40.25  -89.80  0.20E-10
2017   2   7  12  40.30  -89.80  0.14E-10
2017   2   7  12  40.35  -89.80  0.12E-10
2017   2   7  12  40.40  -89.80  0.97E-11
2017   2   7  12  40.45  -89.80  0.73E-11
2017   2   7  12  40.50  -89.80  0.49E-11
2017   2   7  12  40.55  -89.80  0.39E-11
2017   2   7  12  40.60  -89.80  0.31E-11
2017   2   7  12  40.65  -89.80  0.21E-11
2017   2   7  12  40.70  -89.80  0.15E-11
2017   2   7  12  40.75  -89.80  0.71E-12
2017   2   7  12  40.80  -89.80  0.12E-12
2017   2   7  12  40.25  -89.75  0.96E-11
2017   2   7  12  40.30  -89.75  0.17E-10
2017   2   7  12  40.35  -89.75  0.12E-10
2017   2   7  12  40.40  -89.75  0.96E-11
2017   2   7  12  40.45  -89.75  0.82E-11
2017   2   7  12  40.50  -89.75  0.60E-11
2017   2   7  12  40.55  -89.75  0.53E-11
2017   2   7  12  40.60  -89.75  0.40E-11
2017   2   7  12  40.65  -89.75  0.31E-11
2017   2   7  12  40.70  -89.75  0.25E-11
2017   2   7  12  40.75  -89.75  0.14E-11
2017   2   7  12  40.80  -89.75  0.14E-11
2017   2   7  12  40.85  -89.75  0.71E-12
2017   2   7  12  40.90  -89.75  0.21E-12
2017   2   7  12  40.95  -89.75  0.59E-13
2017   2   7  12  40.25  -89.70  0.64E-13
2017   2   7  12  40.30  -89.70  0.68E-11
2017   2   7  12  40.35  -89.70  0.15E-10
2017   2   7  12  40.40  -89.70  0.10E-10
