YEAR  MO  DA  HR    LAT     LON Rn2200100
2012   8  18  12  39.90  -90.00  0.47E-10
2012   8  18  12  39.95  -90.00  0.40E-09
2012   8  18  12  40.00  -90.00  0.24E-09
2012   8  18  12  39.45  -89.95  0.26E-11
2012   8  18  12  39.50  -89.95  0.23E-10
2012   8  18  12  39.55  -89.95  0.53E-10
2012   8  18  12  39.60  -89.95  0.89E-10
2012   8  18  12  39.65  -89.95  0.12E-09
2012   8  18  12  39.70  -89.95  0.17E-09
2012   8  18  12  39.75  -89.95  0.21E-09
2012   8  18  12  39.80  -89.95  0.28E-09
2012   8  18  12  39.85  -89.95  0.37E-09
2012   8  18  12  39.90  -89.95  0.42E-09
2012   8  18  12  39.95  -89.95  0.18E-09
2012   8  18  12  39.75  -89.90  0.11E-10
2012   8  18  12  39.80  -89.90  0.94E-11
