YEAR  MO  DA  HR    LAT     LON Rn2200100
2017   6   5  12  40.00  -90.00  0.25E-10
2017   6   5  12  40.00  -89.95  0.16E-09
2017   6   5  12  40.00  -89.90  0.15E-09
2017   6   5  12  39.95  -89.85  0.27E-10
2017   6   5  12  40.00  -89.85  0.11E-09
2017   6   5  12  39.95  -89.80  0.52E-10
2017   6   5  12  40.00  -89.80  0.82E-10
2017   6   5  12  39.95  -89.75  0.68E-10
2017   6   5  12  40.00  -89.75  0.61E-10
2017   6   5  12  39.95  -89.70  0.69E-10
2017   6   5  12  40.00  -89.70  0.44E-10
2017   6   5  12  39.95  -89.65  0.77E-10
2017   6   5  12  40.00  -89.65  0.45E-10
2017   6   5  12  39.95  -89.60  0.87E-10
2017   6   5  12  40.00  -89.60  0.31E-10
2017   6   5  12  39.95  -89.55  0.80E-10
2017   6   5  12  40.00  -89.55  0.23E-10
2017   6   5  12  39.95  -89.50  0.85E-10
2017   6   5  12  40.00  -89.50  0.16E-10
2017   6   5  12  39.95  -89.45  0.86E-10
2017   6   5  12  40.00  -89.45  0.12E-10
2017   6   5  12  39.95  -89.40  0.88E-10
2017   6   5  12  40.00  -89.40  0.80E-11
2017   6   5  12  39.95  -89.35  0.85E-10
2017   6   5  12  40.00  -89.35  0.72E-11
2017   6   5  12  39.95  -89.30  0.80E-10
2017   6   5  12  40.00  -89.30  0.64E-11
2017   6   5  12  39.95  -89.25  0.78E-10
2017   6   5  12  40.00  -89.25  0.57E-11
2017   6   5  12  39.95  -89.20  0.75E-10
2017   6   5  12  40.00  -89.20  0.57E-11
2017   6   5  12  39.95  -89.15  0.73E-10
2017   6   5  12  40.00  -89.15  0.63E-11
2017   6   5  12  39.95  -89.10  0.68E-10
2017   6   5  12  40.00  -89.10  0.68E-11
2017   6   5  12  39.95  -89.05  0.60E-10
2017   6   5  12  40.00  -89.05  0.86E-11
2017   6   5  12  39.90  -89.00  0.13E-12
2017   6   5  12  39.95  -89.00  0.55E-10
2017   6   5  12  40.00  -89.00  0.10E-10
2017   6   5  12  39.90  -88.95  0.67E-13
2017   6   5  12  39.95  -88.95  0.49E-10
2017   6   5  12  40.00  -88.95  0.12E-10
2017   6   5  12  39.90  -88.90  0.67E-13
2017   6   5  12  39.95  -88.90  0.45E-10
2017   6   5  12  40.00  -88.90  0.15E-10
2017   6   5  12  39.95  -88.85  0.39E-10
2017   6   5  12  40.00  -88.85  0.17E-10
2017   6   5  12  39.95  -88.80  0.33E-10
2017   6   5  12  40.00  -88.80  0.20E-10
2017   6   5  12  39.95  -88.75  0.25E-10
2017   6   5  12  40.00  -88.75  0.21E-10
2017   6   5  12  39.95  -88.70  0.20E-10
2017   6   5  12  40.00  -88.70  0.23E-10
2017   6   5  12  39.95  -88.65  0.14E-10
2017   6   5  12  40.00  -88.65  0.23E-10
2017   6   5  12  39.95  -88.60  0.76E-11
2017   6   5  12  40.00  -88.60  0.23E-10
2017   6   5  12  39.95  -88.55  0.33E-11
2017   6   5  12  40.00  -88.55  0.23E-10
2017   6   5  12  39.95  -88.50  0.20E-12
2017   6   5  12  40.00  -88.50  0.20E-10
2017   6   5  12  40.00  -88.45  0.12E-10
2017   6   5  12  40.00  -88.40  0.50E-11
