YEAR  MO  DA  HR    LAT     LON Rn2200100
2016   7  26  12  39.65  -90.00  0.58E-12
2016   7  26  12  39.70  -90.00  0.51E-11
2016   7  26  12  39.75  -90.00  0.12E-10
2016   7  26  12  39.80  -90.00  0.22E-10
2016   7  26  12  39.85  -90.00  0.42E-10
2016   7  26  12  39.90  -90.00  0.62E-10
2016   7  26  12  39.95  -90.00  0.14E-09
2016   7  26  12  40.00  -90.00  0.74E-10
2016   7  26  12  39.60  -89.95  0.39E-11
2016   7  26  12  39.65  -89.95  0.11E-10
2016   7  26  12  39.70  -89.95  0.22E-10
2016   7  26  12  39.75  -89.95  0.35E-10
2016   7  26  12  39.80  -89.95  0.58E-10
2016   7  26  12  39.85  -89.95  0.57E-10
2016   7  26  12  39.90  -89.95  0.11E-09
2016   7  26  12  39.95  -89.95  0.75E-10
2016   7  26  12  39.50  -89.90  0.95E-12
2016   7  26  12  39.55  -89.90  0.70E-11
2016   7  26  12  39.60  -89.90  0.12E-10
2016   7  26  12  39.65  -89.90  0.25E-10
2016   7  26  12  39.70  -89.90  0.39E-10
2016   7  26  12  39.75  -89.90  0.51E-10
2016   7  26  12  39.80  -89.90  0.47E-10
2016   7  26  12  39.85  -89.90  0.83E-10
2016   7  26  12  39.90  -89.90  0.31E-10
2016   7  26  12  39.45  -89.85  0.73E-12
2016   7  26  12  39.50  -89.85  0.84E-11
2016   7  26  12  39.55  -89.85  0.13E-10
2016   7  26  12  39.60  -89.85  0.28E-10
2016   7  26  12  39.65  -89.85  0.40E-10
2016   7  26  12  39.70  -89.85  0.40E-10
2016   7  26  12  39.75  -89.85  0.41E-10
2016   7  26  12  39.80  -89.85  0.62E-10
2016   7  26  12  39.85  -89.85  0.16E-10
2016   7  26  12  39.40  -89.80  0.21E-11
2016   7  26  12  39.45  -89.80  0.95E-11
2016   7  26  12  39.50  -89.80  0.15E-10
2016   7  26  12  39.55  -89.80  0.30E-10
2016   7  26  12  39.60  -89.80  0.29E-10
2016   7  26  12  39.65  -89.80  0.37E-10
2016   7  26  12  39.70  -89.80  0.55E-10
2016   7  26  12  39.75  -89.80  0.42E-10
2016   7  26  12  39.80  -89.80  0.66E-11
2016   7  26  12  39.35  -89.75  0.46E-11
2016   7  26  12  39.40  -89.75  0.12E-10
2016   7  26  12  39.45  -89.75  0.18E-10
2016   7  26  12  39.50  -89.75  0.32E-10
2016   7  26  12  39.55  -89.75  0.32E-10
2016   7  26  12  39.60  -89.75  0.63E-10
2016   7  26  12  39.65  -89.75  0.56E-10
2016   7  26  12  39.70  -89.75  0.15E-10
2016   7  26  12  39.25  -89.70  0.21E-11
2016   7  26  12  39.30  -89.70  0.11E-10
2016   7  26  12  39.35  -89.70  0.18E-10
2016   7  26  12  39.40  -89.70  0.28E-10
2016   7  26  12  39.45  -89.70  0.36E-10
2016   7  26  12  39.50  -89.70  0.62E-10
2016   7  26  12  39.55  -89.70  0.63E-10
2016   7  26  12  39.60  -89.70  0.36E-10
2016   7  26  12  39.10  -89.65  0.49E-11
2016   7  26  12  39.15  -89.65  0.15E-10
2016   7  26  12  39.20  -89.65  0.18E-10
2016   7  26  12  39.25  -89.65  0.27E-10
2016   7  26  12  39.30  -89.65  0.31E-10
2016   7  26  12  39.35  -89.65  0.55E-10
2016   7  26  12  39.40  -89.65  0.84E-10
2016   7  26  12  39.45  -89.65  0.64E-10
2016   7  26  12  39.50  -89.65  0.38E-10
2016   7  26  12  39.10  -89.60  0.51E-12
2016   7  26  12  39.15  -89.60  0.25E-10
2016   7  26  12  39.20  -89.60  0.50E-10
2016   7  26  12  39.25  -89.60  0.62E-10
2016   7  26  12  39.30  -89.60  0.63E-10
2016   7  26  12  39.35  -89.60  0.41E-10
2016   7  26  12  39.40  -89.60  0.60E-11
