YEAR  MO  DA  HR    LAT     LON Rn2200100
2016   5  10  12  41.75  -91.45  0.50E-13
2016   5  10  12  41.45  -91.40  0.50E-13
2016   5  10  12  41.50  -91.40  0.10E-12
2016   5  10  12  41.75  -91.40  0.10E-12
2016   5  10  12  41.35  -91.35  0.15E-12
2016   5  10  12  41.40  -91.35  0.25E-12
2016   5  10  12  41.45  -91.35  0.35E-12
2016   5  10  12  41.50  -91.35  0.15E-12
2016   5  10  12  41.55  -91.35  0.50E-13
2016   5  10  12  41.65  -91.35  0.10E-12
2016   5  10  12  41.30  -91.30  0.10E-12
2016   5  10  12  41.35  -91.30  0.60E-12
2016   5  10  12  41.40  -91.30  0.11E-11
2016   5  10  12  41.45  -91.30  0.25E-12
2016   5  10  12  41.50  -91.30  0.35E-12
2016   5  10  12  41.65  -91.30  0.10E-12
2016   5  10  12  41.70  -91.30  0.50E-13
2016   5  10  12  41.30  -91.25  0.25E-12
2016   5  10  12  41.35  -91.25  0.10E-11
2016   5  10  12  41.40  -91.25  0.12E-11
2016   5  10  12  41.45  -91.25  0.40E-12
2016   5  10  12  41.50  -91.25  0.46E-12
2016   5  10  12  41.55  -91.25  0.55E-13
2016   5  10  12  41.60  -91.25  0.10E-12
2016   5  10  12  41.65  -91.25  0.50E-13
2016   5  10  12  41.25  -91.20  0.48E-12
2016   5  10  12  41.30  -91.20  0.77E-12
2016   5  10  12  41.35  -91.20  0.14E-11
2016   5  10  12  41.40  -91.20  0.16E-11
2016   5  10  12  41.45  -91.20  0.40E-12
2016   5  10  12  41.50  -91.20  0.42E-12
2016   5  10  12  41.55  -91.20  0.16E-12
2016   5  10  12  41.60  -91.20  0.10E-12
2016   5  10  12  41.20  -91.15  0.16E-12
2016   5  10  12  41.25  -91.15  0.90E-12
2016   5  10  12  41.30  -91.15  0.12E-11
2016   5  10  12  41.35  -91.15  0.19E-11
2016   5  10  12  41.40  -91.15  0.11E-11
2016   5  10  12  41.45  -91.15  0.60E-12
2016   5  10  12  41.50  -91.15  0.42E-12
2016   5  10  12  41.55  -91.15  0.55E-13
2016   5  10  12  41.15  -91.10  0.16E-12
2016   5  10  12  41.20  -91.10  0.76E-12
2016   5  10  12  41.25  -91.10  0.15E-11
2016   5  10  12  41.30  -91.10  0.20E-11
2016   5  10  12  41.35  -91.10  0.17E-11
2016   5  10  12  41.40  -91.10  0.12E-11
2016   5  10  12  41.45  -91.10  0.39E-12
