YEAR  MO  DA  HR    LAT     LON Rn2200010
2005  12  31  12 -24.50  -47.10  0.75E-12
2005  12  31  12 -24.60  -47.05  0.23E-11
2005  12  31  12 -24.55  -47.05  0.99E-11
2005  12  31  12 -24.50  -47.05  0.86E-11
2005  12  31  12 -24.45  -47.05  0.47E-11
2005  12  31  12 -24.55  -47.00  0.56E-11
2005  12  31  12 -24.50  -47.00  0.15E-10
2005  12  31  12 -24.45  -47.00  0.13E-10
2005  12  31  12 -24.40  -47.00  0.56E-11
2005  12  31  12 -24.35  -47.00  0.76E-12
2005  12  31  12 -24.55  -46.95  0.87E-12
2005  12  31  12 -24.50  -46.95  0.10E-10
2005  12  31  12 -24.45  -46.95  0.28E-10
2005  12  31  12 -24.40  -46.95  0.16E-10
2005  12  31  12 -24.35  -46.95  0.66E-11
2005  12  31  12 -24.30  -46.95  0.15E-11
2005  12  31  12 -24.45  -46.90  0.14E-10
2005  12  31  12 -24.40  -46.90  0.21E-10
2005  12  31  12 -24.35  -46.90  0.16E-10
2005  12  31  12 -24.30  -46.90  0.85E-11
2005  12  31  12 -24.25  -46.90  0.24E-11
2005  12  31  12 -24.40  -46.85  0.18E-10
2005  12  31  12 -24.35  -46.85  0.36E-10
2005  12  31  12 -24.30  -46.85  0.13E-10
2005  12  31  12 -24.25  -46.85  0.65E-11
2005  12  31  12 -24.40  -46.80  0.89E-12
2005  12  31  12 -24.35  -46.80  0.80E-11
2005  12  31  12 -24.30  -46.80  0.27E-10
2005  12  31  12 -24.25  -46.80  0.21E-10
2005  12  31  12 -24.20  -46.80  0.63E-11
2005  12  31  12 -24.15  -46.80  0.54E-11
2005  12  31  12 -24.30  -46.75  0.63E-11
2005  12  31  12 -24.25  -46.75  0.36E-10
2005  12  31  12 -24.20  -46.75  0.29E-10
2005  12  31  12 -24.15  -46.75  0.11E-10
2005  12  31  12 -24.10  -46.75  0.20E-11
2005  12  31  12 -24.25  -46.70  0.98E-11
2005  12  31  12 -24.20  -46.70  0.45E-10
2005  12  31  12 -24.15  -46.70  0.32E-10
2005  12  31  12 -24.10  -46.70  0.23E-10
2005  12  31  12 -24.05  -46.70  0.35E-11
2005  12  31  12 -24.20  -46.65  0.26E-11
2005  12  31  12 -24.15  -46.65  0.44E-10
2005  12  31  12 -24.10  -46.65  0.41E-10
2005  12  31  12 -24.05  -46.65  0.23E-10
2005  12  31  12 -24.00  -46.65  0.49E-11
2005  12  31  12 -24.15  -46.60  0.27E-11
2005  12  31  12 -24.10  -46.60  0.42E-10
2005  12  31  12 -24.05  -46.60  0.58E-10
2005  12  31  12 -24.00  -46.60  0.29E-10
2005  12  31  12 -23.95  -46.60  0.90E-11
2005  12  31  12 -24.10  -46.55  0.18E-11
2005  12  31  12 -24.05  -46.55  0.50E-10
2005  12  31  12 -24.00  -46.55  0.86E-10
2005  12  31  12 -23.95  -46.55  0.42E-10
2005  12  31  12 -23.90  -46.55  0.46E-11
2005  12  31  12 -24.05  -46.50  0.92E-12
2005  12  31  12 -24.00  -46.50  0.32E-10
2005  12  31  12 -23.95  -46.50  0.10E-09
2005  12  31  12 -23.90  -46.50  0.54E-10
2005  12  31  12 -23.95  -46.45  0.22E-10
2005  12  31  12 -23.90  -46.45  0.14E-09
2005  12  31  12 -23.85  -46.45  0.11E-09
2005  12  31  12 -23.90  -46.40  0.28E-11
2005  12  31  12 -23.85  -46.40  0.35E-09
2006   1   1   0 -24.70  -47.55  0.54E-12
2006   1   1   0 -24.65  -47.55  0.62E-12
2006   1   1   0 -24.75  -47.50  0.62E-12
2006   1   1   0 -24.70  -47.50  0.22E-11
2006   1   1   0 -24.65  -47.50  0.23E-11
2006   1   1   0 -24.60  -47.50  0.18E-11
2006   1   1   0 -24.75  -47.45  0.12E-11
2006   1   1   0 -24.70  -47.45  0.34E-11
2006   1   1   0 -24.65  -47.45  0.81E-11
2006   1   1   0 -24.60  -47.45  0.47E-11
2006   1   1   0 -24.55  -47.45  0.62E-12
2006   1   1   0 -24.75  -47.40  0.73E-12
2006   1   1   0 -24.70  -47.40  0.63E-11
2006   1   1   0 -24.65  -47.40  0.11E-10
2006   1   1   0 -24.60  -47.40  0.11E-10
2006   1   1   0 -24.55  -47.40  0.88E-11
2006   1   1   0 -24.50  -47.40  0.13E-11
2006   1   1   0 -24.70  -47.35  0.28E-11
2006   1   1   0 -24.65  -47.35  0.10E-10
2006   1   1   0 -24.60  -47.35  0.12E-10
2006   1   1   0 -24.55  -47.35  0.74E-11
2006   1   1   0 -24.50  -47.35  0.73E-12
2006   1   1   0 -24.70  -47.30  0.24E-11
2006   1   1   0 -24.65  -47.30  0.13E-10
2006   1   1   0 -24.60  -47.30  0.98E-11
2006   1   1   0 -24.55  -47.30  0.16E-10
2006   1   1   0 -24.50  -47.30  0.40E-11
2006   1   1   0 -24.45  -47.30  0.19E-11
2006   1   1   0 -24.70  -47.25  0.22E-11
2006   1   1   0 -24.65  -47.25  0.17E-10
2006   1   1   0 -24.60  -47.25  0.11E-10
2006   1   1   0 -24.55  -47.25  0.16E-10
2006   1   1   0 -24.50  -47.25  0.98E-11
2006   1   1   0 -24.45  -47.25  0.21E-11
2006   1   1   0 -24.40  -47.25  0.64E-12
2006   1   1   0 -24.35  -47.25  0.63E-12
2006   1   1   0 -24.70  -47.20  0.84E-12
