YEAR  MO  DA  HR    LAT     LON Rn2200010
1975  12   3  12 -24.05  -47.35  0.11E-11
1975  12   3  12 -24.00  -47.35  0.11E-11
1975  12   3  12 -23.95  -47.35  0.11E-11
1975  12   3  12 -24.05  -47.30  0.19E-11
1975  12   3  12 -24.00  -47.30  0.91E-11
1975  12   3  12 -23.95  -47.30  0.11E-10
1975  12   3  12 -23.90  -47.30  0.41E-11
1975  12   3  12 -23.85  -47.30  0.11E-11
1975  12   3  12 -24.05  -47.25  0.63E-11
1975  12   3  12 -24.00  -47.25  0.12E-10
1975  12   3  12 -23.95  -47.25  0.17E-10
1975  12   3  12 -23.90  -47.25  0.26E-11
1975  12   3  12 -23.85  -47.25  0.11E-11
1975  12   3  12 -24.05  -47.20  0.11E-10
1975  12   3  12 -24.00  -47.20  0.21E-10
1975  12   3  12 -23.95  -47.20  0.90E-11
1975  12   3  12 -23.90  -47.20  0.32E-11
1975  12   3  12 -24.05  -47.15  0.13E-10
1975  12   3  12 -24.00  -47.15  0.20E-10
1975  12   3  12 -23.95  -47.15  0.17E-10
1975  12   3  12 -23.90  -47.15  0.37E-11
1975  12   3  12 -24.05  -47.10  0.25E-10
1975  12   3  12 -24.00  -47.10  0.13E-10
1975  12   3  12 -23.95  -47.10  0.17E-10
1975  12   3  12 -23.90  -47.10  0.55E-11
1975  12   3  12 -24.10  -47.05  0.86E-12
1975  12   3  12 -24.05  -47.05  0.13E-10
1975  12   3  12 -24.00  -47.05  0.19E-10
1975  12   3  12 -23.95  -47.05  0.12E-10
1975  12   3  12 -23.90  -47.05  0.53E-11
1975  12   3  12 -23.85  -47.05  0.29E-11
1975  12   3  12 -24.10  -47.00  0.13E-11
1975  12   3  12 -24.05  -47.00  0.20E-10
1975  12   3  12 -24.00  -47.00  0.17E-10
1975  12   3  12 -23.95  -47.00  0.13E-10
1975  12   3  12 -23.90  -47.00  0.24E-11
1975  12   3  12 -23.85  -47.00  0.18E-11
1975  12   3  12 -24.05  -46.95  0.19E-10
1975  12   3  12 -24.00  -46.95  0.27E-10
1975  12   3  12 -23.95  -46.95  0.16E-10
1975  12   3  12 -23.90  -46.95  0.75E-11
1975  12   3  12 -23.85  -46.95  0.71E-11
1975  12   3  12 -23.80  -46.95  0.12E-11
1975  12   3  12 -24.10  -46.90  0.87E-12
1975  12   3  12 -24.05  -46.90  0.20E-10
1975  12   3  12 -24.00  -46.90  0.27E-10
1975  12   3  12 -23.95  -46.90  0.10E-10
1975  12   3  12 -23.90  -46.90  0.91E-11
1975  12   3  12 -23.85  -46.90  0.60E-11
1975  12   3  12 -23.80  -46.90  0.30E-11
1975  12   3  12 -24.05  -46.85  0.70E-11
1975  12   3  12 -24.00  -46.85  0.33E-10
1975  12   3  12 -23.95  -46.85  0.99E-11
1975  12   3  12 -23.90  -46.85  0.11E-10
1975  12   3  12 -23.85  -46.85  0.12E-10
1975  12   3  12 -23.80  -46.85  0.48E-11
1975  12   3  12 -24.05  -46.80  0.22E-11
1975  12   3  12 -24.00  -46.80  0.40E-10
1975  12   3  12 -23.95  -46.80  0.16E-10
1975  12   3  12 -23.90  -46.80  0.13E-10
1975  12   3  12 -23.85  -46.80  0.14E-10
1975  12   3  12 -23.80  -46.80  0.12E-10
1975  12   3  12 -24.00  -46.75  0.23E-10
1975  12   3  12 -23.95  -46.75  0.26E-10
1975  12   3  12 -23.90  -46.75  0.13E-10
1975  12   3  12 -23.85  -46.75  0.14E-10
1975  12   3  12 -23.80  -46.75  0.19E-10
1975  12   3  12 -24.00  -46.70  0.18E-10
1975  12   3  12 -23.95  -46.70  0.42E-10
1975  12   3  12 -23.90  -46.70  0.16E-10
1975  12   3  12 -23.85  -46.70  0.20E-10
1975  12   3  12 -23.80  -46.70  0.22E-10
1975  12   3  12 -24.00  -46.65  0.31E-11
1975  12   3  12 -23.95  -46.65  0.30E-10
1975  12   3  12 -23.90  -46.65  0.33E-10
1975  12   3  12 -23.85  -46.65  0.26E-10
1975  12   3  12 -23.80  -46.65  0.27E-10
1975  12   3  12 -23.95  -46.60  0.33E-10
1975  12   3  12 -23.90  -46.60  0.52E-10
1975  12   3  12 -23.85  -46.60  0.36E-10
1975  12   3  12 -23.80  -46.60  0.23E-10
1975  12   3  12 -23.95  -46.55  0.81E-11
1975  12   3  12 -23.90  -46.55  0.70E-10
1975  12   3  12 -23.85  -46.55  0.50E-10
1975  12   3  12 -23.80  -46.55  0.43E-10
1975  12   3  12 -23.90  -46.50  0.63E-10
1975  12   3  12 -23.85  -46.50  0.88E-10
1975  12   3  12 -23.80  -46.50  0.56E-10
1975  12   3  12 -23.90  -46.45  0.60E-11
1975  12   3  12 -23.85  -46.45  0.24E-09
1975  12   3  12 -23.80  -46.45  0.77E-10
1975  12   3  12 -23.85  -46.40  0.29E-09
1975  12   3  12 -23.80  -46.40  0.10E-10
1975  12   4   0 -24.00  -47.35  0.74E-12
1975  12   4   0 -23.95  -47.35  0.45E-11
1975  12   4   0 -23.90  -47.35  0.48E-11
1975  12   4   0 -23.85  -47.35  0.37E-11
1975  12   4   0 -24.00  -47.30  0.36E-11
1975  12   4   0 -23.95  -47.30  0.77E-11
1975  12   4   0 -23.90  -47.30  0.11E-10
1975  12   4   0 -23.85  -47.30  0.67E-11
1975  12   4   0 -23.80  -47.30  0.52E-11
1975  12   4   0 -23.75  -47.30  0.74E-12
1975  12   4   0 -24.00  -47.25  0.37E-11
1975  12   4   0 -23.95  -47.25  0.13E-10
1975  12   4   0 -23.90  -47.25  0.14E-10
